Activities,Address,Charity,Complete,Created,Description,Donations,Link,MostRecentDonation,Operates,Postcode,Raised
,"Mind N A M H,Granta House  15-19 Broadway,London  E15 4BQ",Mind,True,2015-09-03,"We’re Mind, the mental health charity, working across England and Wales. We believe no one should have to face a mental health problem alone. Whether you’re stressed, depressed or in crisis. We’ll listen, give support and advice, and fight your corner. Our work relies on people like you who give their time, money, energy and passion to make sure Mind can be there for everyone who needs us.     The money you raise will help make sure that people with a mental health problem have somewhere to turn – whether it’s through our helpline, our information pages, or our online peer support. We believe that everyone with a mental health problem should be able to access excellent care and services and we campaign to make this happen.    Whether you’re walking, running, cycling, trekking, swimming, hosting a Crafternoon or a gala dinner – you are amazing. Thank you for choosing to fundraise for national Mind as part of our team. You’re doing something really good and we’re here for you.   Thank you for your kind and generous support.     ","2015-09-23 20/2015-09-14 20/2015-09-03 10",https://uk.virginmoneygiving.com/fundraiser-display/showROSomeoneSpecialPage?pageUrl=janekitchen-dunn,2015-09-23,,,50
,"22 Waghorn Street,  Chatham,  ME4 5LT","One Big Family - Helping The Homeless",False,2020-08-27,"Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.","2020-09-28 5/2020-09-24 20/2020-09-24 10/2020-09-24 10/2020-09-22 10/2020-09-16 20/2020-09-15 20/2020-09-13 20/2020-09-09 10/2020-09-09 10/2020-09-08 15/2020-09-08 10/2020-09-08 10/2020-09-08 10/2020-09-08 20/2020-09-08 20/2020-09-05 40/2020-09-04 20/2020-09-04 10/2020-09-04 25/2020-08-31 30/2020-08-31 50/2020-08-30 10/2020-08-30 10/2020-08-30 50/2020-08-30 10/2020-08-30 20/2020-08-30 25/2020-08-28 25/2020-08-28 15",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=AnthonyMartin32&pageUrl=1,2020-09-28,,,625
,"The Trussell Trust,Unit 9, Ashfield Trading Estate  Ashfield Road,Salisbury  SP2 7HL","The Trussell Trust",False,2020-06-01,"We support a nationwide network of food banks and together we provide emergency food and support to people locked in poverty, and campaign for change to end the need for food banks in the UK. In the UK, more than 14 million people are living in poverty – including 4.5 million children. We support more than 1,200 food bank centres in the UK to provide a minimum of three days’ nutritionally-balanced emergency food to people who have been referred in crisis, as well as support to help people resolve the crises they face. Between April 2018 and March 2019, food banks in our network provided a record 1.6 million food supplies to people in crisis, a 19% increase on the previous year. That's why your fundraising is important now more than ever. Over the last 5 years food bank use in our network has increased by 73%. This is a trend we need to break and we can only do this with your support. We value every penny raised and every conversation started.  We know it takes more than food to end hunger. That’s why we bring together the experiences of food banks in our network to challenge the structural economic issues that lock people in poverty, and campaign to end the need for food banks in the UK. If you'd like more information or have any questions about fundraising please don't hesitate to contact us. We'd be delighted to hear from you. ","2020-10-03 5/2020-08-05 10/2020-07-05 5/2020-07-02 20/2020-06-30 10/2020-06-27 15/2020-06-22 50/2020-06-21 20/2020-06-21 20/2020-06-20 15/2020-06-19 50/2020-06-19 5/2020-06-17 50/2020-06-12 10/2020-06-12 20/2020-06-11 20/2020-06-10 75/2020-06-10 20/2020-06-10 10/2020-06-08 15/2020-06-08 20/2020-06-08 15/2020-06-08 80/2020-06-08 15/2020-06-08 20/2020-06-08 50/2020-06-08 10/2020-06-08 10/2020-06-08 15/2020-06-07 15/2020-06-07 10/2020-06-07 30/2020-06-07 10/2020-06-07 15/2020-06-07 10/2020-06-07 10/2020-06-07 15/2020-06-05 5/2020-06-04 75/2020-06-04 10/2020-06-04 10/2020-06-03 5/2020-06-03 50/2020-06-02 100/2020-06-02 50/2020-06-01 5",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=soupforthesoul&pageUrl=2,2020-10-03,,,1140
,"81 New Laithe Hill,  Huddersfield,West Yorkshire  HD4 6RF","Huddersfield and Wakefield Chantry Rotary Clubs",True,," Following the postponement of the 2020 event due to the corona virus, once again, our two Rotary Clubs, Huddersfield & Wakefield Chantry&nbsp;have joined together to organise their Twelfth Annual Rotary Boat Race 2021 [b][i] 10 July 2021[/i][/b] Pugneys Country Park, Wakefield From the sponsorship that each team raises, 75% goes to the teams nominated charity, the remaining 25% goes to the Rotary Clubs charities.  Visit our website www.rotarydragonboatchallenge.org",,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=souperstars&pageUrl=1,,,,0
,"22 Waghorn Street,  Chatham,  ME4 5LT","One Big Family - Helping The Homeless",True,2020-09-26,"Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.","2020-10-03 15/2020-10-02 20/2020-09-28 15/2020-09-27 20/2020-09-26 57/2020-09-26 15/2020-09-26 5",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=Jon&pageUrl=1,2020-10-03,,,147
,"22 Waghorn Street,  Chatham,  ME4 5LT","One Big Family - Helping The Homeless",False,2020-09-06,"Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.","2020-09-24 10/2020-09-23 15/2020-09-23 15/2020-09-22 10/2020-09-22 10/2020-09-22 10/2020-09-21 10/2020-09-21 20/2020-09-21 10/2020-09-21 10/2020-09-20 10/2020-09-11 20/2020-09-11 20/2020-09-10 10/2020-09-09 20/2020-09-08 10/2020-09-08 15/2020-09-07 15/2020-09-07 5/2020-09-07 5/2020-09-06 1",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=SeanGreene&pageUrl=2,2020-10-04,,,296
,"22 Waghorn Street,  Chatham,  ME4 5LT","One Big Family - Helping The Homeless",False,2020-09-03,"Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.","2020-09-24 15/2020-09-15 20/2020-09-15 15/2020-09-14 15/2020-09-11 10/2020-09-10 15/2020-09-09 20/2020-09-09 20/2020-09-08 50/2020-09-04 10/2020-09-03 15",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=TaraHepden&pageUrl=2,2020-09-24,,,215
,"22 Waghorn Street,  Chatham,  ME4 5LT","One Big Family - Helping The Homeless",True,2020-09-01,"Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.","2020-09-12 30/2020-09-03 5/2020-09-03 20/2020-09-03 20/2020-09-01 10/2020-09-01 20",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=TimLawlor1&pageUrl=4,2020-09-12,,,105
,"22 Waghorn Street,  Chatham,  ME4 5LT","One Big Family - Helping The Homeless",True,,"Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.",,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=TonyCohen4&pageUrl=1,,,,0
,"22 Waghorn Street,  Chatham,  ME4 5LT","One Big Family - Helping The Homeless",True,2020-09-15,"Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.","2020-09-28 20/2020-09-25 20/2020-09-24 5/2020-09-18 10/2020-09-18 30/2020-09-18 50/2020-09-17 15/2020-09-17 10/2020-09-15 10/2020-09-15 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=TonyCohen5&pageUrl=1,2020-09-28,,,180
