Key,Fundraiser,Raised,Charity,Operates,Postcode,Activities,Description,Address,FirstDonation,LastDonation
10,"Richard Kitchen",110,"The Brain Tumour Charity",Ceredigion,,Education,"The Brain Tumour Charity is at the forefront of the fight to defeat brain tumours, making a difference every day to the lives of people with a brain tumour and their families. 
We fund pioneering research to increase survival and improve treatment options.  We raise awareness of the symptoms and effects of brain tumours to get earlier diagnosis and to help families cope with everything that the diagnosis of a brain tumour brings.  We provide support for everyone affected so that they can live as full a life as possible, with the best quality of life.
We are committed to having the biggest possible impact for every person affected by a brain tumour, to defending the most amazing part of the human body, so that getting the diagnosis of a brain tumour no longer means a death sentence. 
Brain tumours are different to other cancers, as they affect the part of you that makes you who you are.  Living with a brain tumour has a significant impact on quality of life, as evidenced through recent research, resulting in the publication of ‘Losing Myself: The Reality of Life with a Brain Tumour’.
We believe that fighting brain tumours on all fronts through research, awareness and support is the only way to save lives, reduce long term disabilities and help everyone with a brain tumour and their families cope with everything that the diagnosis of a brain tumour brings.
We are members of the Association of Medical Research Charities, The Information Standard, The Helplines Partnership and the Fundraising Standards Board.","61-65 Victoria Road,  Farnborough,Hampshire  GU14 7PA",13/01/2020,12/03/2020
11,"Steffan Kitchen",730,"Friends Of Rwandan Rugby",,,,"""When we play rugby everyone smlles""
Friends of Rwandan Rugby is a small, innovative charity which teaches the joys of rugby to boys, girls and young adults throughout Rwanda.  FoRR’s mission is  to promote the growth of participation in all forms of rugby and to encourage a healthy, active lifestyle through rugby. We employ 6 rugby development officers who work in over 90 schools throughout Rwanda
Why Rugby?  Why Rwanda?
For all the gruesome statistics from Rwanda’s genocide – and there are many – perhaps the most sobering is that 96% of the child population at the time are thought to have witnessed the bloodshed first hand.  Now those children are helping to build a new Rwanda and for some one thing has made that unenviable task just a little easier:  Rugby
Rugby as a contact sport helps build very strong relationships & friendships.&nbsp; Players need to be friends with their team mates so they take care of you on the pitch.
FoRR focuses on teaching rugby to children and young adults in schools and communities across Rwanda. 
","4 Seymour Avenue,Parc Seymour Penhow  Caldicot,Newport  NP26 3AG",20/02/2020,01/03/2020
12,"Suzie Kitchen",0,"The Children's Foundation",,,,"Our vision is for the health and wellbeing of children and young people in North East England to be the best in the UK. We fund research so we can help to cure sick children and prevent them from becoming ill. 


We also investigate lifestyle issues which we hope will lead to better long-term outcomes for children in the region. We support NHS projects including the Great North Children's Hospital with our campaign to include the latest technology in the wards to make the time spent in hospital as comfortable and stress-free as possible for children and their families. 


We manage partnership projects which deliver practical, researched interventions to help children with disabilities or mental health issues and to promote the importance of child safety. We aim to make North East children and ultimately children in the UK Happy, Healthy and Safe.","The Children's Foundation,Sir James Spence Institute Of Chil  Victoria Wing,Royal Victoria Infirmary  NE99 2YB",,
13,"jane kitchen-dunn",50,Mind,,,,"We’re Mind, the mental health charity. We believe no one should have to face a mental health problem alone. We’re here for you. Today. Now. Whether you’re stressed, depressed or in crisis. We’ll listen, give support and advice, and fight your corner.
Thank you so much for raising money for Mind. Our work relies on people like you. People who give their time, money, energy and passion to make sure Mind can be there for everyone who needs us.
Every penny you raise will help to make sure people with a mental health problem have somewhere to turn. This could be someone dealing with anxiety, depression or bipolar finding the information and support they’ve been looking for by calling our infoline.
Whether you're planning to support us through a run, cycle, trek, swim, triathlon, another event or your own fundraising activity - we’re on hand to help you and give you all the support you need. You’re doing something really good. And we want that to feel great. 

Thank you for your kind and generous support.



","Mind N A M H,Granta House  15-19 Broadway,London  E15 4BQ",03/09/2015,23/09/2015
14,"Elektra and Iona",865,"The Trussell Trust",,,,"We support a nationwide network of food banks and together we provide emergency food and support to people locked in poverty, and campaign for change to end the need for food banks in the UK.
In the UK, more than 14 million people are living in poverty – including 4.5 million children. We support more than 1,200 food bank centres in the UK to provide a minimum of three days’ nutritionally-balanced emergency food to people who have been referred in crisis, as well as support to help people resolve the crises they face. Between April 2018 and March 2019, food banks in our network provided a record 1.6 million food supplies to people in crisis, a 19% increase on the previous year.
That's why your fundraising is important now more than ever. Over the last 5 years food bank use in our network has increased by 73%. This is a trend we need to break and we can only do this with your support. We value every penny raised and every conversation started. 
We know it takes more than food to end hunger. That’s why we bring together the experiences of food banks in our network to challenge the structural economic issues that lock people in poverty, and campaign to end the need for food banks in the UK.
If you'd like more information or have any questions about fundraising please don't hesitate to contact us. We'd be delighted to hear from you. ","The Trussell Trust,Unit 9, Ashfield Trading Estate  Ashfield Road,Salisbury  SP2 7HL",01/06/2020,12/06/2020
15,"Emma Greenough",0,"Huddersfield and Wakefield Chantry Rotary Clubs",,,," Following the postponement of the 2020 event due to the corona virus, once again, our two Rotary Clubs, Huddersfield & Wakefield Chantry&nbsp;have joined together to organise their Twelfth Annual Rotary Boat Race 2021
[b][i] 10 July 2021[/i][/b]
Pugneys Country Park, Wakefield
From the sponsorship that each team raises, 75% goes to the teams nominated charity, the remaining 25% goes to the Rotary Clubs charities. 
Visit our website
www.rotarydragonboatchallenge.org","81 New Laithe Hill,  Huddersfield,West Yorkshire  HD4 6RF",,
16,"Helen Crabb",1437.76,"Animals Asia Foundation",Carmarthenshire,"SA31 1JP","To give awards to students achieving the highest grades in Welsh language exams.","Animals Asia Foundation (charity no: 1086903) is a registered charity devoted to the needs of wild, domesticated and endangered species throughout the Asian continent.  Our mission is to improve the lives of all animals in Asia, end cruelty and restore respect for animals Asia-wide.  Particular emphasis is focused on ending bear bile farming and the eating of dogs and cats.

 We are committed to forging constructive solutions to the seemingly insurmountable problems which the animals face.  We cultivate communication and cooperation with governments to open the door to solutions while creating grass roots programmes within the community, which spark far reaching change.","Office 17, Mary Seacole Road,The Millfields  Plymouth,Devon  PL1 3JY",20/04/2020,11/05/2020
17,"Rachael Camidge",80,"Kidney Research UK",,,,"Right now, the lives of over three million people in the UK are threatened by chronic kidney disease.
No one knows who or when kidney disease may strike next. It could be any one of us, young or old.
Kidney Research UK is the countrys leading charity dedicated to funding life saving research, improving patient care and raising public awareness of kidney disease issues.
Only with your help can we help fund more research to save lives.","Kidney Research UK,Nene Hall  Lynch Wood Park,Peterborough  PE2 6FZ",24/04/2020,27/04/2020
18,"Thea Bonham-Kelly",0,"The Cleft Lip And Palate Association",Hertfordshire,"AL6 9NW","Administer Trust Funds","Three babies are born with a cleft lip and/or palate every day in the UK, and they can face a 20-year treatment pathway which can continue well into adulthood. The Cleft Lip & Palate Association (CLAPA) was established to make sure no one has to go through this alone. We are the only national charity supporting people and families affected by cleft lip and/or palate in the UK.

CLAPA provides specialist feeding equipment and information, and brings together families and individuals affected by cleft to share experiences and form support networks.

Our vision is of a society where everyone affected by cleft feels supported, connected and empowered to take control wherever they are on their cleft journey.
","CLAPA,The Green House  244-254 Cambridge Heath Road,London  E2 9DA",,
19,"Tony Woollett",2575,"Barchester Healthcare Foundation","Knowsley, Liverpool City, Sefton, St Helens, Wirral","WA5 3DL","the charity is dormant","Barchester’s Charitable Foundation is a registered charity that helps older people and other adults with disabilities across England, Scotland and Wales.
We give grants to help reduce isolation and loneliness, promote group activities and generally improve people’s independence, mobility and quality of life. We aim to give grants that will help people lead more fulfilled lives and reach their full potential. We help individuals, small community groups and small local charities. This year our focus is about connecting or re-connecting people with others in their local community. Applications that combat loneliness and enable people to be active and engaged will receive our highest priority in 2019.","3rd Floor,The Aspect  12 Finsbury Square,London  EC2A 1AS",20/04/2020,04/06/2020
