Key,Fundraiser,Raised,Charity,Operates,Postcode,Activities,Description,Address,FirstDonation,LastDonation
10,"Alison Hall",65,"Southend Foodbank",,,,"Thank you for supporting Southend Foodbank. We distribute crisis food parcels across Southend and Rochford, to people referred to us because they are struggling to put food on their table. After our busiest year ever in 2019, 2020 is already our most challenging.

We are currently facing several challenges responding to coronavirus, including: fewer places open for donations and substantially less food being donated; restrictions on how many volunteers can be active in our spaces, which is stretching our capacity especially as there has been an increased numbers of enquiries; uncertainty about how much local need might suddenly increase; and changes to the way we organise distribution to keep everyone safe. Check our covid-19 page for current arrangements.
If you are are able to donate money or get sponsored to do something amazing through #TwoPointSixChallenge the funds you raise could be used to buy food and make sure we can keep supporting people in our community. Just like a real shopping basket, when you join in a crowdfunder every can counts and it all adds up!
Even if you can't donate right now, you can still support the foodbank for free. Follow us on social media and get involved with campaigns to end food poverty. Clicks, cash and cans all make a difference.","Friendship House,484 Southchurch Road  Southend-on-sea,  SS1 2QA",08/05/2020,12/05/2020
11,"Annie Trihan",310,"Bow Foodbank",Kent,"TN16 1EX","MEMBERS MEETINGS  LECTURES  DISCUSSIONS  FUND RAISING ACTIVITIES","Corona Virus - Food crisis
As well as looking after the individuals and families who need our help week after week, we are doing everything that we can to support the local community, working with other organisations and with the local council to help to distribute food to those who are self isolating or unable to leave their homes. 
Thank you to everyone who has helped us, especially in these last few weeks. Please support us if you can. Our costs are escalating way beyong our normal budget, but we want to do more. These are difficult times for all of us, but desperate for those with limited access to food for their families. 
Thank you
2 April 2020.


Bow Foodbank is a small independent foodbank based in Bow, east London. Our mission is to provide food and support to anyone in need.
We are fairly unique in our approach: the dignity of each client is foremost, they choose the food they need, and we don't require clients to be referred or have vouchers, prefering to trust each client. 

We provide a warm welcome, tea and a sandwich/cake while clients wait to do their 'shopping'. Free legal advice is available at each foodbank session.




","177 Bow Road,  London,  E3 2SG",17/04/2020,29/04/2020
12,"Caragh McWhinney",145,"The PwC Foundation",,,,"The PwC Foundation is a registered charity (No 1144124), set up in October 2011 to promote social inclusion and sustainable development in the UK, in line with our purpose.
Through our Together for Change campaign, we are aiming to support 500,000 people. We will do this through our four partner charities, which are aligned to our community strategy focus areas of mental health & wellbeing and social mobility.
There are two staff-voted charities: Samaritans, our mental health and wellbeing partner, and UK Youth, our social mobility partner. The other two PwC Foundation charities are long standing partners: the Beyond Food Foundation and Wellbeing of Women
We also support staff fundraising for locally supported/ personally supported charities, by sending on their donations to the charity they are supporting. We also offer matched giving for our staff.
Find out more by joining us on Twitter @pwcfoundationuk, or take a look at our website.","The PwC Foundation,  1 Embankment Place,London  WC2N 6RH",13/05/2020,04/06/2020
13,"Carly Rissen",605,"Hillingdon Foodbank",,,,,"Coats Of Many Colours Nursery,4 New Windsor Street  Uxbridge,  UB8 2TU",21/05/2020,27/05/2020
14,"Clarendon Fun Run",3658.02,"Wandsworth Foodbank",,,,"Wandsworth Foodbank - Administered by Junction Community Trust
 Providing emergency food & support to local people in crisis in the London borough of Wandsworth.
We don’t think anyone in our community should have to face going hungry. That’s why we provide three days’ nutritionally balanced emergency food and support to local people who are referred to us in crisis. We are part of a nationwide network of foodbanks, supported by The Trussell Trust, working to combat poverty and hunger across the UK.
Last year we helped 1209 different households locally, providing 5218 3-day emergency food supplies in crisis. This is an increase of 11% on the previous year.
We partner with Citizen's Advice Wandsworth and have a full-time advisor working exclusively with people in the foodbank, helping to resolve the crisis and reduce the need for future food bank use.
","St. Marks Church,Battersea Rise  London,  SW11 1EJ",03/05/2020,08/06/2020
15,"Elizabeth Smith",200.13,Touchstone,,,,"
Touchstone's vision is to inspire communities and transform lives.  We are supporting the community, but we can't do it on our own. 
Please help us transform lives during the Covid- 19 crisis by making a donation so that Touchstone's service users do not go hungry.
Many of the people and families we support are finding it difficult or impossible to get to food banks.  They are hungry, isolated and unwell. 
Your support for Touchstone is never more needed #nevermoreneeded
Please consider fundraising for Touchstone.  With a £25 donation, service users who are self isolating and are very vulnerable will have an essential food parcel to last a week.  100% of your donation will be used for basic essential items for our emergency campaign #touchstonelovesfood.  
Thank you very much for your kindness during this crisis. 


Get our latest news from:
","Touchstone House 2-4 Middleton Crescent,  Leeds,West Yorkshire  LS11 6JU",03/05/2020,27/05/2020
16,"Hannah Groves",123,"Luton Foodbank",,,,"Launched in April 2013, Luton Foodbank provides emergency food supplies to local people living in food poverty. 
Luton Foodbank provides individuals and families with non-perishable food parcels containing 3 days worth of food.
We work with local organisations and volunteers, striving to ensure that no one in Luton goes hungry. 
We value all the support that we recieve from local community, including schools, churches, mosques and other organisations.  If you would like to get involved by volunteering or becoming a referral agency, please contact us using the details on this page.
Thank you!","Unit 3 High Town Enterprise Centre Yor,  Luton,Bedfordshire  LU2 0HA",29/02/2020,16/03/2020
17,"High School of Dundee",561.02,"Dundee Foodbank",Devon,,,,"Unit 5-6 Dunsinane Avenue,Dunsinane Industrial Estate  Dundee,Angus  DD2 3QN",30/04/2020,25/05/2020
18,"Jane Wellens",80,NSPCC,"Kingston Upon Thames, Surrey","KT1 1HL","Presenting a programme of plays and other activities in the Rose Theatre, Kingston and beyond, which advance the education of the public in all aspects of dramatic art.","We’re the only charity fighting to end child abuse in the UK and Channel Islands. That’s why we help children who’ve been abused to rebuild their lives, we protect children at risk, and we find the best ways of preventing child abuse from ever happening.","N S P C C,Weston House  42 Curtain Road,London  EC2A 3NH",21/03/2020,12/05/2020
19,"Jo Eayres",50,"Cirencester Foodbank",,,,,"Cirencester Foodbank,Cirencester Baptist Church  Chesterton Lane,Cirencester  GL7 1YE",21/03/2020,21/03/2020
20,"Kal Karim",15534.09,"The Cambridge City Foodbank",,,,,"The Cambridge City Foodbank,2 Orwell House  Cowley Road,Cambridge  CB4 0PP",15/03/2020,10/06/2020
21,"Katie Innes",385,"Edinburgh Food Project","Throughout England And Wales, Australia, Canada, Spain, United States",,"Welfare support to ex RAF Cranwell Apprentices","Edinburgh Food Project (EFP) are a local independant charity (SC043220) and are a member of, but are not funded by, the Trussell Trust network. EFP Board of Trustees govern the charity while the work of the charity is overseen by one full-time and three part-time employees, and over 200 dedicated volunteers.  
EFP operates 7 foodbanks in areas of multiple deprivation across Edinburgh, providing emergency food supplies to people in need. Established in 2012, the charity now also works to break the cycle of food poverty through its More Than Food programme.
Each person we help has been referred to us by one of our 230 support agency partners who are looking after the longer-term problems a person may have. People can be referred to us for three food packs in a six-month period.  This is to ensure clients do not become dependent on the foodbank long term.  However, we can provide long term support if there are special circumstances.
Each food pack provides at least three meals for three days, and some snacks. We are also able to offer additional services such as toiletries, household items, pet food, specialist dietary items and kettle packs (for those who do not have access to a cooker/microwave).
In 2018-19, we provided 11,495 parcels to men, women and children. This was a 19.6% increase on the previous year.
We were able to do so by receiving 130,000kg of food from public donations.
Since 2017, we have expanded our focus by developing our foodbank centres in to More Than Food hubs. We conducted community-based research funded by Aspiring Communities Fund to identify the support needs of people, map existing support, and identify key gaps.
Findings from the research have shaped the development and implementation of this programme, which seeks to address the underlying causes of and help break the cycle of food poverty through the provision of appropriate advice and signposting support by partner agencies within our centres. 
Our goal is reduce the number of people who need the foodbank’s support, and ultimately to help reduce food poverty.



","Unit 12 New Lairdship Yards,Broomhouse Road  Edinburgh,Midlothian  EH11 3UY",19/04/2020,14/06/2020
22,"Rebecca Dawn",55,"Scunthorpe Foodbank (a part of Scunthorpe Baptist Church)",Lancashire,"FY6 7EU","Advancing the education of pupils in the school in particular by developing effective relationships between the staff, parents and others associated with the school and engaging in activities or providing facilities or equipment which support the school and advance education of the pupils","Scunthorpe Baptist Church is a local charity responsible for the running of the Scunthorpe Foodbank. All monies donated through this page will be used for the running of the foodbank exclusively. 
Our foodbank is now feeding in excess of 3,000 people every year, of which 1/3 are children under the age of 16. The number of children and adults we feed rises every year.
The foodbank is run almost entirely by volunteers with no paid staff costs attributed to the foodbank by the church. 
We rely entirely on the donations of the public to fund our work, and are grateful for all that we receive, both financial and also in terms of the food that is given.

","Scunthorpe Baptist Church,Ashby Road  Scunthorpe,  DN16 1NR",03/04/2020,04/04/2020
23,"Ross Mackey",1665.88,"West Lothian Foodbank",,,,"Every day people in the UK go hungry for reasons ranging from redundancy to receiving an unexpected bill on a low income. West Lothian Food bank is a Trussell Trust food bank which provides a minimum of three days emergency food and support to people experiencing crisis. Rising food and fuel prices, static incomes, underemployment and changes to benefits are some of the reasons why increasing numbers are being referred to food banks for emergency food. The Trussell Trust partners with churches and communities to open new food banks nationwide. Our goal is for every person in West Lothian to have a distribution centre within easy reach.
Your money pays for essential staff, a warehouse/office and the resourcing of 10 distribution centres across West Lothian. Visit our website regularly for updates on how your money is reaching people in need.","Unit 5 Heron Square,Deans Industrial Estate  Livingston,West Lothian  EH54 8QY",21/04/2020,08/05/2020
24,"Samantha Scaife",0,"Hull Foodbank",Norfolk,,,"Thank you for visiting our donation page. We supply 3 days emergency food to individuals and families experiencing a short-term crisis.
Please feel free to visit our website or contact us if you have any questions, or would like to know more.


","Jubilee Central,King Edward Street  Hull,  HU1 3SQ",,
25,"Samantha Scaife",0,"York Foodbank",,,,,"5 Sterling Park Bleriot Way,  York,  YO30 4WU",,
26,"Shipley College",965.68,"Bradford North Foodbank",,,,"Foodbank serving the northern half of Bradford plus Rawdon / Yeadon / Guiseley. Part of the Trussell Trust Foodbank Network. Run by local churches.
1 in 5 parents skip meals to feed children & over 13 million people live below the poverty line in the UK.&nbsp;Our foodbank provides a minimum of three days emergency food & support to local people experiencing crisis. Rising food & fuel prices, static incomes, underemployment & changes to benefits are some of the reasons why increasing numbers are being referred to our foodbank for emergency food.&nbsp; Children make up 40% of those we feed. 
We have five distribution centres, located in different population centres within our area.  Each centre is set up as a pop-up cafe providing a warm, secure place for people with food vouchers to relax, receive their food parcel, chat and receive signposting support to help with the reason they need food support.  Here are two quotes from two different centres:
""I was out of work for three weeks, which meant I was only paid sick pay.  I have come to the foodbank [distribution centre] twice and the team here have been fantastic - so kind and understanding.  I will definitely be donating food once I am back on my feet""
""From start to finish I am met with warm, welcoming, kind people that work here [foodbank distribution centre].  They make me feel at ease, especially loved and that I am important, special.  Our family are so blessed to receive food from here, it has kept us feeling blessed and fed.  The ladies and men here speak in such a loving, caring tone.  Apart from the provisions they help with, this place has been a peaceful sanctuary to me.  Thanks is not enough.  Thank you.""","Unit 12, Inspire Bradford Business Park,Newlands Way  Bradford,West Yorkshire  BD10 0JE",17/04/2020,08/06/2020
27,"Shraz Ali",5,"West Lothian Foodbank",,,,"Every day people in the UK go hungry for reasons ranging from redundancy to receiving an unexpected bill on a low income. West Lothian Food bank is a Trussell Trust food bank which provides a minimum of three days emergency food and support to people experiencing crisis. Rising food and fuel prices, static incomes, underemployment and changes to benefits are some of the reasons why increasing numbers are being referred to food banks for emergency food. The Trussell Trust partners with churches and communities to open new food banks nationwide. Our goal is for every person in West Lothian to have a distribution centre within easy reach.
Your money pays for essential staff, a warehouse/office and the resourcing of 10 distribution centres across West Lothian. Visit our website regularly for updates on how your money is reaching people in need.","Unit 5 Heron Square,Deans Industrial Estate  Livingston,West Lothian  EH54 8QY",21/06/2017,21/06/2017
28,"Sienna Pollard",155,"Basingstoke Foodbank",,,,"The Basingstoke Foodbank provides emergency food and support to local people in the Basingstoke and Tadley areas who are in crisis and in danger of going hungry.
Foodbanks are an emergency food service.  We receive and store food donated by individuals, church groups and local businesses and we give out food parcels, in exchange for vouchers issued by 3rd party agencies, who we partner with, who have issued them to their clients as they have judged that they are in crisis.  To prevent dependency on Foodbanks, clients are entitled to up to three consecutive Foodbank vouchers.","Trinity Methodist Church,Sarum Hill  Basingstoke,  RG21 8SR",05/06/2020,11/06/2020
29,"Sonia Hussain",0,"Luton Foodbank",,,,"Launched in April 2013, Luton Foodbank provides emergency food supplies to local people living in food poverty. 
Luton Foodbank provides individuals and families with non-perishable food parcels containing 3 days worth of food.
We work with local organisations and volunteers, striving to ensure that no one in Luton goes hungry. 
We value all the support that we recieve from local community, including schools, churches, mosques and other organisations.  If you would like to get involved by volunteering or becoming a referral agency, please contact us using the details on this page.
Thank you!","Unit 3 High Town Enterprise Centre Yor,  Luton,Bedfordshire  LU2 0HA",,
30,"Sussan Panahizadi Booth",7800,"Hammersmith And Fulham Foodbank","Throughout London, Belgium, India","NW11 9QX","The charity acts as a headquarters for European activities of world council of Jain Academy. The charity co-operates and provides human resources to Indian summer school of Jain studies. It supervises Jain Academy and research centre at Mumbai University, India. It co-operates with academic institutions where Jainism is taught in UK and Belgium. All expenses have been paid by the trustees, hence,",,"St. Matthews Church,Wandsworth Bridge Road  London,  SW6 2TX",13/05/2020,06/06/2020
31,"Suzella Buhlmann",568.33,"Hull Foodbank",Norfolk,,,"Thank you for visiting our donation page. We supply 3 days emergency food to individuals and families experiencing a short-term crisis.
Please feel free to visit our website or contact us if you have any questions, or would like to know more.


","Jubilee Central,King Edward Street  Hull,  HU1 3SQ",24/05/2020,02/06/2020
32,"THB Cheltenham",455,"Gloucester Foodbank","North Somerset, Somerset",,,,"The George Whitefield Centre,107 Great Western Road  Gloucester,  GL1 3NF",09/03/2020,10/06/2020
33,"The Nuneaton Academy Fundraising",70,"Nuneaton Foodbank","Throughout London",,,,"157 Windermere Avenue,  Nuneaton,  CV11 6HN",03/06/2020,13/06/2020
34,"Wansbeck Valley Food Bank",3030.1,"Wansbeck Valley Food Bank",Oxfordshire,"OX14 1ZB","The charity raises funds by various means, for example, subscriptions, donations, coffee mornings, etc. These funds are then donated to the local community hospital for the purchase of equipment which may not be budgeted for under the NHS.",,"Thistledene,Fulbeck  Morpeth,  NE61 3JU",16/03/2020,17/05/2020
35,"Wendy Barnsley",1147.5,"Rugeley Foodbank",,,,,"Rugeley Community Centre,Burnthill Lane  Rugeley,Staffordshire  WS15 2HX",01/06/2020,11/06/2020
