Key,Activities,Address,Charity,CharityDescription,Complete,Created,Donations,Link,MostRecentDonation,Operates,Postcode,Raised
10,,,"Macmillan Cancer Support","  At Macmillan, we give people with cancer everything we’ve got. If you’re diagnosed, your worries are our worries. We will move mountains to help you live life as fully as you can. And we don’t stop there. We’re going all out to find ever better ways to help people with cancer, helping to bring forward the day when everyone gets life-transforming support from day one. We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk ",True,2021-09-06,"2021-09-28 50/2021-09-13 15/2021-09-13 30/2021-09-12 15/2021-09-12 20/2021-09-11 50/2021-09-11 50/2021-09-11 20/2021-09-10 20/2021-09-10 100/2021-09-10 30/2021-09-10 60/2021-09-10 40/2021-09-09 15/2021-09-09 30/2021-09-09 30/2021-09-09 50/2021-09-08 25/2021-09-08 30/2021-09-08 15/2021-09-07 15/2021-09-06 50",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=JoKitchen3&pageUrl=1,2021-09-28,,,760
11,,,"Macmillan Cancer Support","  At Macmillan, we give people with cancer everything we’ve got. If you’re diagnosed, your worries are our worries. We will move mountains to help you live life as fully as you can. And we don’t stop there. We’re going all out to find ever better ways to help people with cancer, helping to bring forward the day when everyone gets life-transforming support from day one. We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk ",False,2021-05-12,"2021-07-14 10/2021-06-14 10/2021-06-10 15/2021-06-09 50/2021-06-06 20/2021-05-30 40/2021-05-24 30/2021-05-21 15/2021-05-19 50/2021-05-19 20/2021-05-19 30/2021-05-18 50/2021-05-18 100/2021-05-18 50/2021-05-17 100/2021-05-16 100/2021-05-13 20/2021-05-13 20/2021-05-13 100/2021-05-13 50/2021-05-13 50/2021-05-12 30",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=Rachel-Kitchen&pageUrl=1,2021-07-14,,,1195
12,,,"The Brain Tumour Charity","The Brain Tumour Charity is at the forefront of the fight to defeat brain tumours, making a difference every day to the lives of people with a brain tumour and their families.  We fund pioneering research to increase survival and improve treatment options.  We raise awareness of the symptoms and effects of brain tumours to get earlier diagnosis and to help families cope with everything that the diagnosis of a brain tumour brings.  We provide support for everyone affected so that they can live as full a life as possible, with the best quality of life. We are committed to having the biggest possible impact for every person affected by a brain tumour, to defending the most amazing part of the human body, so that getting the diagnosis of a brain tumour no longer means a death sentence.  Brain tumours are different to other cancers, as they affect the part of you that makes you who you are.  Living with a brain tumour has a significant impact on quality of life, as evidenced through recent research, resulting in the publication of ‘Losing Myself: The Reality of Life with a Brain Tumour’. We believe that fighting brain tumours on all fronts through research, awareness and support is the only way to save lives, reduce long term disabilities and help everyone with a brain tumour and their families cope with everything that the diagnosis of a brain tumour brings. We are members of the Association of Medical Research Charities, The Information Standard, The Helplines Partnership and the Fundraising Standards Board.",True,2020-01-13,"2020-03-12 10/2020-02-02 25/2020-01-31 30/2020-01-31 10/2020-01-13 25/2020-01-13 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=RichardKitchen3&pageUrl=1,2020-03-12,,,110
13,,,"Rotary Club Of Furness Charitable Trust"," The Rotary Club of Furness was established on the 17th July 1991,we are a fellowship of like minded people dedicated to serving the community we live in as well as national and international causes. We meet weekly and welcome others in our community to join us, check us out on our website www.furnessrotary.org.uk.   ",True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=RobKitchen3&pageUrl=1,,,,0
14,,,"Alzheimer's Society",,True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=RobKitchen3&pageUrl=2,,,,0
15,,,"Rotary Club Of Furness Charitable Trust"," The Rotary Club of Furness was established on the 17th July 1991,we are a fellowship of like minded people dedicated to serving the community we live in as well as national and international causes. We meet weekly and welcome others in our community to join us, check us out on our website www.furnessrotary.org.uk.   ",True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=RobKitchen3&pageUrl=3,,,,0
16,,,"Macmillan Cancer Support","  At Macmillan, we give people with cancer everything we’ve got. If you’re diagnosed, your worries are our worries. We will move mountains to help you live life as fully as you can. And we don’t stop there. We’re going all out to find ever better ways to help people with cancer, helping to bring forward the day when everyone gets life-transforming support from day one. We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk ",True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=SallyKitchen1&pageUrl=1,,,,0
17,,,"Macmillan Cancer Support","  At Macmillan, we give people with cancer everything we’ve got. If you’re diagnosed, your worries are our worries. We will move mountains to help you live life as fully as you can. And we don’t stop there. We’re going all out to find ever better ways to help people with cancer, helping to bring forward the day when everyone gets life-transforming support from day one. We’re doing whatever it takes. But without your help we can’t support everyone who needs us. To donate, volunteer, raise money or campaign with us, call 0300 1000 200 or visit macmillan.org.uk ",True,2021-01-26,"2021-01-26 20/2021-01-26 20",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=SallyKitchen1&pageUrl=2,2021-01-26,,,40
18,,,"The Children's Foundation","Our aim is to improve the health and well-being of children and young people from birth to age 18 in the North East by making serious stuff fun! We want all North East children and young people to be happy and healthy. We want them to feel loved, respected, feel they have a voice and are heard. We achieve this in two ways; Within Child Health Establishments through our; Clown Doctor Project - ensuring vital therapeutic play is received each week by children experiencing distress and anxiety during their treatment and stay in hospital. Activity and entertainment packs – working with the Nurses and Play staff to put together and deliver bespoke packs for children who find themselves staying long term in the Great North Children’s Hospital. Story Chair Project – we fund a story chair and book trolley in Children’s Outpatients so parent/carers/family can read to their child/children while they wait for appointments to help ease worry, anxiety and spend some quality time together. Within communities; through projects such as; Therapeutic Horticulture - establishing accredited gardening projects (City & Guilds Level 1 Practical Horticulture) in secondary schools so support and tuition can be given to disadvantaged young people, those struggling within the classroom environment, those with behavioural issues or those on reduced school timetables or on the verges of exclusion. Food and Fun Activity Packs - providing vulnerbale children and their families with weekend food provision and some activities that encourage family time. Fuzzy Subjects – mental health workshops in primary schools using fuzzy puppets as a tool to engage children and young people in the subject of mental health and well-being, increasing awareness, understanding and resilience in young people. Nurture Project – Providing a safe space after school for isolated and marginalised young people to find a voice, grow in confidence and build positive friendships. Clown Doctors in Hospices - ensuring vital therapeutic play is received by children in respite care.  Couch to 2K - A weekly running group for young people to promote a healthier lifestyle, reduce isolation and improve well-being. Holiday trips and activities - reducing isolation, incresisng confidence and improving well-being through physical trips and activities in the school holidays.",True,2021-09-11,"2021-09-12 100/2021-09-11 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=SuzieKitchen&pageUrl=1,2021-09-12,,,110
19,,,Mind,"We’re Mind, the mental health charity, working across England and Wales. We believe no one should have to face a mental health problem alone. Whether you’re stressed, depressed or in crisis. We’ll listen, give support and advice, and fight your corner. Our work relies on people like you who give their time, money, energy and passion to make sure Mind can be there for everyone who needs us.     The money you raise will help make sure that people with a mental health problem have somewhere to turn – whether it’s through our helpline, our information pages, or our online peer support. We believe that everyone with a mental health problem should be able to access excellent care and services and we campaign to make this happen.    Whether you’re walking, running, cycling, trekking, swimming, hosting a Crafternoon or a gala dinner – you are amazing. Thank you for choosing to fundraise for national Mind as part of our team. You’re doing something really good and we’re here for you.   Thank you for your kind and generous support.     ",True,2015-09-03,"2015-09-23 20/2015-09-14 20/2015-09-03 10",https://uk.virginmoneygiving.com/fundraiser-display/showROSomeoneSpecialPage?pageUrl=janekitchen-dunn,2015-09-23,,,50
20,,,"One Big Family - Helping The Homeless","Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.",False,2021-08-09,"2021-10-19 50/2021-10-19 30/2021-10-17 5/2021-10-15 20/2021-10-14 30/2021-10-14 10/2021-10-13 20/2021-10-13 15/2021-10-13 55/2021-10-13 10/2021-10-11 15/2021-10-11 50/2021-10-11 10/2021-10-11 50/2021-10-11 20/2021-10-11 50/2021-10-11 15/2021-10-11 50/2021-10-11 30/2021-10-10 15/2021-10-10 30/2021-10-10 20/2021-10-10 10/2021-10-10 20/2021-10-10 20/2021-10-10 10/2021-10-09 20/2021-10-09 10/2021-10-09 15/2021-10-09 20/2021-10-09 20/2021-10-09 10/2021-10-09 30/2021-10-09 10/2021-10-09 20/2021-10-09 5/2021-10-09 20/2021-10-09 50/2021-10-09 20/2021-10-08 20/2021-10-08 20/2021-10-07 10/2021-10-07 5/2021-10-06 5/2021-10-05 10/2021-10-03 20/2021-10-03 10/2021-10-03 5/2021-10-01 15/2021-09-29 20/2021-09-27 10/2021-09-27 10/2021-09-26 15/2021-09-24 30/2021-09-24 15/2021-09-24 15/2021-09-24 10/2021-09-24 10/2021-09-23 10/2021-09-23 20/2021-09-23 50/2021-09-23 20/2021-09-23 20/2021-09-23 30/2021-09-23 20/2021-09-23 20/2021-09-23 20/2021-09-19 20/2021-09-19 10/2021-09-15 10/2021-09-15 10/2021-09-12 30/2021-09-11 20/2021-09-11 15/2021-09-11 20/2021-09-11 10/2021-09-11 20/2021-09-09 20/2021-09-09 10/2021-09-07 15/2021-09-07 10/2021-09-07 10/2021-08-31 15/2021-08-31 10/2021-08-09 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=AnthonyMartin32&pageUrl=2,2021-10-19,,,1767
21,,,"One Big Family - Helping The Homeless","Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.",False,2021-08-23,"2021-11-09 403/2021-10-12 10/2021-10-10 15/2021-10-10 10/2021-10-10 10/2021-10-10 15/2021-10-09 5/2021-10-09 5/2021-10-09 30/2021-10-09 25/2021-10-09 10/2021-10-09 5/2021-10-09 6/2021-10-09 5/2021-10-09 15/2021-10-09 40/2021-10-09 30/2021-10-09 15/2021-10-09 10/2021-10-08 20/2021-10-07 15/2021-10-07 10/2021-10-07 10/2021-10-07 10/2021-10-07 15/2021-10-07 20/2021-10-07 15/2021-10-07 30/2021-10-02 15/2021-09-15 20/2021-09-15 20/2021-08-24 10/2021-08-23 15/2021-08-23 50/2021-08-23 20",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=AshleyTaylorGard&pageUrl=1,2021-11-09,,,1013
22,,,"One Big Family - Helping The Homeless","Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.",False,2021-08-17,"2021-10-09 20/2021-10-09 55/2021-09-25 30/2021-09-04 50/2021-09-04 50/2021-08-19 15/2021-08-18 55",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=CadivandenEnde&pageUrl=2,2021-10-17,,,524
23,,,"One Big Family - Helping The Homeless","Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.",True,,,https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=CharleneMalone&pageUrl=3,,,,0
24,,,"One Big Family - Helping The Homeless","Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.",True,2021-09-12,"2021-10-14 20/2021-10-14 50/2021-10-10 5/2021-10-09 10/2021-10-09 10/2021-10-09 10/2021-10-09 10/2021-10-08 10/2021-10-07 10/2021-09-21 30/2021-09-13 50/2021-09-13 100/2021-09-13 100/2021-09-12 100",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=CharleneMalone&pageUrl=4,2021-10-14,,,515
25,,,"One Big Family - Helping The Homeless","Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.",False,2021-08-16,"2021-08-16 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=CherylWilkie&pageUrl=1,2021-08-16,,,12
26,,,"One Big Family - Helping The Homeless","Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.",True,2021-08-16,"2021-08-16 10",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=JamieHarding9&pageUrl=1,2021-08-16,,,10
27,,,"One Big Family - Helping The Homeless","Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.",False,2021-10-08,"2021-10-10 12/2021-10-10 50/2021-10-08 40",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=JessicaLowson&pageUrl=2,2021-10-10,,,300
28,,,"One Big Family - Helping The Homeless","Thank you for visiting our profile. One Big Family - Helping the Homeless help those who are homeless or in need. We operate in Medway, Maidstone and Yorkshire. We offer on street outreach giving food, sleeping bags, drinks, hygeine items etc.  We assist people with appointments for housing, benefits, addiction etc aswell as signposting to other services. In Medway we run a homeless Emergency Winter Refuge in Chatham which provides a safe place to stay and support to rough sleepers every Friday/Saturday and Sunday plus any night where the temperature is forecast zero degrees or below.  Over the last 2 years we have provided over 2000 beds.",False,2021-09-17,"2021-10-11 10/2021-10-11 15/2021-10-11 15/2021-10-10 15/2021-10-10 20/2021-10-09 10/2021-10-09 50/2021-10-09 10/2021-10-09 20/2021-10-03 200/2021-09-17 10/2021-09-17 30/2021-09-17 10/2021-09-17 15",https://uk.virginmoneygiving.com/fundraiser-display/showROFundraiserPage?userUrl=KatieKnight19&pageUrl=1,2021-10-11,,,445
