Title,Location,Url,Details.Raised,Details.Target,Details.MostRecentDonation,Details.Created,Details.Organization,Details.OrganizationDetails,Details.DonationCount,Details.Story
"Nether Edge & Sharrow Foodbank Appeal","Sheffield, Yorkshire and the Humber, United Kingdom",https://www.gofundme.com/f/1truz6ghao,3952,5000,2020-05-16T15:57:36.0000000-05:00,04/03/2020,,,98,"TSY Ehsaas Bame outreach in collaboration with Sheffield's local Charities (Families Relief and iAspire Foundation) are collecting donations enabling us to purchase Food for the Local Community who are struggling during this Covid 19 Pandemic. The support has been an ongoing one since the crisis and is aimed at supporting the Sharrow/Netheredge elderly and vulnerable. Focus is kept local also to avoid the risk of spreading as its been very hard for many food banks who are struggling due to the covid-19. For this reason we felt it was important to support our local charities who have been providing vital support to many vulnerable in the community locally and nationally but are in need of us today to carry on reaching out to our people in time of great need. Your generous donation however small will make a big difference. May Allah bless and reward you always. Ameen. Stay safe and keep us all in your duas. Jazakallah Khair"
"Shaving my head for Foodbank (covid-19)","London, Greater London, United Kingdom",https://www.gofundme.com/f/alice039s-campaign-for-sufra-nw-london,1263,500,2020-04-30T04:02:08.0000000-05:00,04/09/2020,"Sufra NW London","Registered nonprofitDonations eligible for Gift Aid.",64,"I will be shaving my head on the 30th April in the hopes to raise money that will then be shared in supplies to people who need it most during this time. 

Your donation will go towards emergency supplies of essential food and toiletries. 

Sufra NW London is a community food bank and kitchen that provides emergency food aid to families in crisis. The families we support simply can’t afford to panic buy and hoard food, they’re already knocking on our door in search of basic supplies.

I appreciate it's a difficult time for everyone but I hope we can come together to help! Thank you for your support!"
"Raise money for local food banks","Nottingham, East Midlands, United Kingdom",https://www.gofundme.com/f/raise-money-for-local-food-banks,1035,1000,2020-05-01T12:38:43.0000000-05:00,04/19/2020,"FOODBANK 365","Registered nonprofitDonations eligible for Gift Aid.",46,"Do you want to join me in making a difference? I'm raising money in aid of FOODBANK 365 and every donation will help. As you know in these hard times we face more and more people are struggling to get food so every penny made will help a struggling family or person so please consider donating anything you can it doesnt have to be much but it really does help. 
Thank you"
"The Greenwich Food Bank Fund","London, Greater London, United Kingdom",https://www.gofundme.com/f/the-greenwich-food-bank-fund,22784,30000,2020-05-14T08:27:53.0000000-05:00,03/25/2020,"GREENWICH FOODBANK LIMITED","Registered nonprofitDonations eligible for Gift Aid.",465,"The world is experiencing an unprecedented challenge. It is more important than ever that we work together to support one another. The Greenwich Food Bank Fund has launched to provide support to those most at need in our community. The Greenwich Food Bank Fund Right now many of us are understandably feeling anxious and vulnerable, but there are many among us that need immediate support in order to ensure that they can have access to food. Greenwich residents have a proud history of looking after one another - and never has this been more important than now. So I have been working with Greenwich Food Bank to create the Greenwich Food Bank Fund. As the borough faces one of its most important challenges in living memory, the Fund has been set up to ensure that those in need across the borough have access to the help they need. Please, even during this most difficult of times, we ask that - if possible - you donate and contribute to the common good of Greenwich. Please be assured that even the smallest contribution can make the biggest difference. Thank you for your generosity. FAQs Where will the funds go? The funds will go directly to the most vulnerable people during this crisis. They will be administered by the Greenwich Food Bank and delivered to food banks across the borough, from Blackheath to Eltham, Kidbrooke, Thamesmead and beyond. A full list of food bank locations is available at https://greenwich.foodbank.org.uk/locations/. If I donate will it go directly to those who need it? Yes, your donation will go directly to Greenwich Food Bank. Unlike some other platforms, GoFundMe does not charge a fundraising fee although it takes a small transaction fee. See https://www.gofundme.com/c/free-fundraising for more details. You do not need to leave a 'tip' if you don't want to. Will the money be spent in Greenwich? Yes. Is there anything else I can do? The most immediate need is to raise finance, so that purchasing can continue. However there is also a need to: (1) donate food where possible; and (2) create a team of delivery drivers as the Food Bank moves to a delivery model. If you are able to help with either of these, please email contact@greenwichfoodbank.co.uk. Where can I find more information about Covid-19? For general information on CV-19, please visit the Government website: https://www.gov.uk/government/topical-events/coronavirus-covid-19-uk-government-response or the NHS at https://www.nhs.uk/conditions/coronavirus-covid-19/. If you have concerns about your own health, please call the NHS on 111."
"Keep Fair Frome Foodbank Stocked","Frome, South West England, United Kingdom",https://www.gofundme.com/f/keep-fair-frome-foodbank-stocked,4430,-1,2020-05-12T07:31:05.0000000-05:00,03/13/2020,,,176,"The Fair Frome food bank already does incredible work helping those in most need. But the coronavirus epidemic will be a massive challenge for them, on a whole new scale. More and more people are going to need their help over the next few months.

People on zero hours contracts won't get paid.

Food will need to be delivered to the elderly and sick who are self-isolating.

If schools close, many children will lose their main meal and need to be fed.

And all this is happening at a time when the rest of us are going to the supermarket less and - let's be honest - thinking about our own food cupboards first.

So, here's a very simple way to help. You give money. Every time we get to £100 I ask the foodbank what they need most and go and get it. If things get really bad, I will organise a delivery. We all keep doing this over and over again until things get better.


Why aren't Fair Frome doing this? Well, they've got a heck of a lot on their plate right now and this is one way I can take the load off them. It's also easier for me to set up a fundraiser as an individual.

Who am I anyway? Good question, I have volunteered for the food bank before, and here I am with Lenka, their co-ordinator, in the food bank. Fair Frome know that I am making this appeal and are very happy to have the fundraising happen.


I will post the receipt on here every time I go shopping.

But if you're still worried, please do take some food to the Fair Frome collection points in Sainsburys, Asda, Frome Wholefoods and Barnardos instead. 


Frome is a great community. Let's channel this and do our best to see all our town through the next few months.

"
"Hammersmith Food Bank","Kingswood, South East England, United Kingdom",https://www.gofundme.com/f/hammersmith-food-bank,4585,5000,2020-05-08T03:06:40.0000000-05:00,04/03/2020,,,117,"As you know we set up the Hammersmith Food Bank a few weeks ago now helping supply essentials to the elderley, vulnerable, disabled and anyone else in need. We have raised nearly £5,000 offline and now want to make it easier for you guys to support! We have made such a huge difference so far, but as you all know we have a long way to go. We thank you in advance for your continued support! Your amazing. Let’s work together to make things easier for a lot of people. Stay safe."
"Head shave for Govanhill food bank","Glasgow, Scotland, United Kingdom",https://www.gofundme.com/f/head-shave-for-govanhill-food-bank,339,-1,2020-03-31T17:46:17.0000000-05:00,03/29/2020,,,29,"Hi guys,

wanting to to raise some money for the Queen’s Park Govanhill Parish Church Foodbank ☺️ What best way to do this than shaving your Barnet off 

please donate anything amount you want. Photo when done "
"The Lock In - Live Streaming for Barrow Food Bank","Network Rail Ltd, North West England, United Kingdom",https://www.gofundme.com/f/thelockinbarrow,2205,-1,2020-05-03T11:48:38.0000000-05:00,04/09/2020,"BARROW FOOD BANK LIMITED","Registered nonprofitDonations eligible for Gift Aid.",185,"Thank you everyone for your overwhelming support. We have since closed this campaign and have started a new campaign for Mind in Furness. You can donate to this campaign here: Donate Here

We're a team of locals, taking full advantage of the talented locals to stream live music and raise some money while we're at it.

In this strange an uncertain world, we're incredibly proud to be able to bring music to the locals, and hopefully raise a few quid whilst we're at it! "
"Head Shave for Carlisle Foodbank","Tindale Fell, North West England, United Kingdom",https://www.gofundme.com/f/head-shave-for-carlisle-foodbank,1700,500,2020-05-16T16:42:56.0000000-05:00,04/30/2020,,,127,"I’m planning on shaving my hair off, this is a 
massive deal for me!!!! 
Eeek

I want to support my local food bank, this is a 
resource that is much needed, the food bank is 
working harder than ever to support our 
vulnerable communities and their pets. Photos of various hair styles will be provided for 
your amusement! "
"Support Seahaven Foodbank","Newhaven, South East England, United Kingdom",https://www.gofundme.com/f/seahaven-foodbank,1798,1000,2020-05-16T03:51:51.0000000-05:00,04/16/2020,"Sussex Community Development Association","Registered nonprofitDonations eligible for Gift Aid.",39,"Seahaven Foodbank, also known as Newhaven Foodbank, provides food parcels to families and individuals in Newhaven, Sussex, and the surrounding areas.

The fall off in food donations caused by the Covid-19 crisis and the jump in demand that we have seen for the service has meant that we have had to start buying food and other essential products. This, together with the need to move to a delivery model and the widening of the geographical area served, has increased our costs significantly. A financial donation will enable supplies to be purchased and distributed to those who are struggling and vulnerable. A food parcel for an individual for one week costs £14, or £18 with toiletries. All donations will go directly to purchasing items for food parcels. 

More information about Sussex Community Development Association: SCDA works across East Sussex delivering community based services aimed at addressing the needs of the most vulnerable in the community, including Young people's activities, youth club, specialist counselling Info and Advice Hub in Newhaven Seahaven Food Bank Counselling services Support for survivors of suicide Safe from Harm Community activities, courses and events Employability projects Denton Island Nursery Family and children's activities Activities and events for BAME communities

See www.sussexcommunity.org.uk for more information."
"Raising funds for local Food banks","Port Talbot, Wales, United Kingdom",https://www.gofundme.com/f/aajej-raising-funds-for-local-food-banks,2069,100,2020-05-15T09:12:20.0000000-05:00,04/24/2020,,,114,"Urgent food bank supplies required.

Good people of Neath-Port Talbot ,
during this crises we are currently going through the food banks are currently short on supplies. A number of reasons
1, More people are out of work and unable to provide a full supply of food for themselves and their families 

2, People do not have enough time to stop in supermarkets to grab a few tins to put into the food bank donation trollies. 

I am raising some funds so that I can go out and buy supplies and donate to Bethal Church, Port Talbot and the Salvation Army, Neath. 

These two two great organisations have been supporting our communities in these desperate times for some. Please let’s support them. 

All I asking for as a community is for a very small donation of 50p -£1 from as many as possible. 

Thank you in advance."
"The Consult Centre Give Away - Morecambe Food Bank","Morecambe, North West England, United Kingdom",https://www.gofundme.com/f/the-consult-centre-give-away-morecambe-food-bank,565,2500,2020-05-16T13:04:11.0000000-05:00,04/30/2020,"Morecambe Bay Foodbank","Registered nonprofitDonations eligible for Gift Aid.",48,"

The Consult Centre has launched its Big Bundle Give-Away. Supported by our fantastic clients and their generosity. The Consult Centre and local businesses have joined together to launch this give away, our aim to raise funds for Morecambe Food Bank, who are in real need of donations and resources in one of the most testing times in our lifetimes. 

How it works
You make a donation here, donate what you can, no minimum and no maximum. The winner who will be picked by Annette from Morecambe Bay Foodbank, by selecting a number at random, will win the WHOLE prize bundle! Everything on the list, no second or third prizes. One winner will win a prize worth over £1600!

There is no limit to the number of times you can enter. 

Just remember to leave your details in the registration so we can call you when you win! 

Payments - all donations will go directly to Morecambe Bay Foodbank, the total raised here will be donated automatically when the GiveAway is drawn. 
Entries close June 13th Midnight, and the winner is drawn June 14th, via Facebook Live on The ConsultCentre Facebook Page,make sure you follow the page to be alerted to the live announcement

List of prizes and the names of those generous businesses that have offered their support
The Consult Centre - £100 Sainsbury's Voucher
Prime Wellbeing Foundation - Weleda Skincare Basket 
TP Financial Solutions - Free financial review and £50 donation to Morecambe Bay Foodbank 
Heaton Hair - £40 Gift Voucher*
Station Hotel Caton - £20 Gift Voucher 
Blend Accountants - £50 Shopping Voucher 
Sally Wilkinson Get Over Yourself - £100 Free place - Online Focus Fortnight
MindFlow - £50 Shopping Voucher 
Quite Simply French - £100 Sunday Lunch with Champagne*
Jo and Cass Lancaster - Cut and Blowdry 
Exhale Lancaster - 60-minute massage 
Lancaster Brewery - Brewer for the day, plus 20 litres of the beer you brew and an overnight stay at Duke Of Edinburgh, Barrow 
The Gentry - 10 x £12 vouchers for barber cuts 
Pure Essence Beauty - Environ Facial 
Soothing Psychic Readings - Private reading 
Jewellery By Mandy - Piece of handmade jewellery 
Water Witch Lancaster - £25 Food Voucher
Dog Gone Fabulous Grooming Parlour - Dog Groom 
Fairway Physio - 60 minute Sport massage
Laura Sandham School of Dance - Private Dance Lesson
Colonics North West - Treatment Voucher
Angel Telecom - £50 Sainsbury's Voucher 
Dog Hair Day Shampoo - 4 x bottles of dog shampoo
Sand Communications - £100 Sainsbury's Voucher 
Morecambe Bay Wills and Estates - Will Review & Car Valet Voucher 
Althams Butchers - Free Meat Hamper delivered 
Hill Top Cakery - 12 Cup Cake Bouquet 


There is no limit to the number of times you can enter. 

Just remember to leave your details in the registration so we can call you when you win! 

Payments - all donations will go directly to Morecambe Bay Foodbank, the total raised here will be donated automatically when the GiveAway is drawn. 
Entries close June 13th Midnight, and the winner is drawn June 14th, via Facebook Live on The ConsultCentre Facebook Page, make sure you follow the page to be alerted to the live announcement

More information about Morecambe Bay Foodbank: Helping people in the Morecambe and Lancaster area who cannot get food due to an emergency situation

ABOUT
“The foodbank was there when we really needed it, it was an absolute lifeline.”

We don’t think anyone in our community should have to face going hungry. That’s why we provide three days’ nutritionally balanced emergency food and support to local people who are referred to us in crisis. We are part of a nationwide network of foodbanks, supported by The Trussell Trust, working to combat poverty and hunger across the UK.

ABOUT OUR FOODBANK
An introduction to the Morecambe Bay Foodbank project.
Morecambe Bay Foodbank is a project founded by local churches and community groups, working together towards stopping hunger in our local area. It began life at the GYM Church on Green Street in Morecambe and has now moved to The West End Community Centre on Westminster Road in Morecambe. We receive and distribute over six tonnes of food each month and our operation has been growing since its inception in 2012. 

We have a small staff team led by our Foodbank Manager, Annette Smith, and over eighty regular volunteers who give up their time to help us each week.

ABOUT
HOW FOODBANKS WORK
Providing emergency food to people in crisis.
Every day people in the UK go hungry for reasons ranging from redundancy to receiving an unexpected bill on a low income. A simple box of food makes a big difference, with foodbanks helping prevent crime, housing loss, family breakdown and mental health problems.

FOOD IS DONATED
Schools, churches, businesses and individuals donate non-perishable, in-date food to a foodbank. Large collections often take place as part of Harvest Festival celebrations and food is also collected at supermarkets.

FOOD IS SORTED AND STORED
Volunteers sort food to check that it’s in date and pack it into boxes ready to be given to people in need. Over 40,000 people give up their time to volunteer at foodbanks.

PROFESSIONALS IDENTIFY PEOPLE IN NEED
Foodbanks partner with a wide range of care professionals such as doctors, health visitors, social workers and police to identify people in crisis and issue them with a foodbank voucher.

CLIENTS RECEIVE FOOD
Foodbank clients bring their voucher to a foodbank centre where it can be redeemed for three days’ emergency food. Volunteers meet clients over a warm drink or free hot meal and are able to signpost people to agencies able to solve the longer-term problem."
"New School Uniforms and Food Bank Appeal","Everton, North West England, United Kingdom",https://www.gofundme.com/f/new-school-year-new-school-uniform,12975,15000,2020-03-25T13:16:11.0000000-05:00,07/06/2019,"Liverpool Six Community Association","Registered nonprofitDonations eligible for Gift Aid.",305,"Do you want to join me in making a difference? I'm raising money in aid of Liverpool Six Community Association and every donation will help. Thank you in advance for your contribution to this cause that means so much to me. We want to send every primary child back to school in September in a new uniform, new coat, shoes and PE Kit.

More information about Liverpool Six Community Association: At our Community Centre we provide advice services, lunch clubs, youth clubs, a foodbank, tea dances, short breaks away for the elderly and children. The children we work with come to the L6 Centre very distressed and hungry. We run a youth club for these disadvantaged children of our community and provide them with a hot meal 3 times a week. We work closely with the local schools and the teachers who refer vulnerable children and families. We also ensure we support families who are deprived at Christmas."
"The Swan and Helmet Food Bank","Northampton, East Midlands, United Kingdom",https://www.gofundme.com/f/the-swan-and-helmet-food-bank,4053,5000,2020-05-15T17:05:34.0000000-05:00,04/23/2020,,,119,"The Swan and Helmet pub closed on 20th March due to the COVID-19 pandemic, we decided to start a food bank. 

We reached out for food and money donations from our loyal friends and followers and started to deliver food hampers to those who needed it most. 

Our initial plan was to provide some food hampers over a 2-week period, or when the donations ran out. However, once we started this work, we observed how much hardship there is within the community and really wanted to continue and provide as much support as is possible. 

We have since been fortunate to receive some generous funding . The funding has enabled us to reach out to local schools, churches, council groups and other community organisations to identify families who would massively benefit from a food hamper during these difficult times. To date we have provided over 1500 food hampers to family’s within Northampton, and the demand for this support is increasing daily.

To continue to support the community and the increasing need, we are constantly looking for further support. As with everyone at the moment, we have no knowledge of when life will start to go back to normal, but while the pub is closed, we are determined to continue to support those who need our help."
"Food Bank for Refugees in North London","London, Greater London, United Kingdom",https://www.gofundme.com/f/food-bank-for-refugees-in-north-london,1561,10000,2020-05-16T18:44:02.0000000-05:00,05/15/2020,,,28,"The COVID-19 lockdown has changed all of our lives dramatically in these last 7 weeks.

Grocery shopping has become a whole new experience entirely and I don't think any of us ever anticipated having to queue up outside the supermarket for ages- only to get inside and find many essential items not available. Fortunately for most of us this is only a temporary situation. 

Sadly many families have been financially hit hard by the lockdown. In particular the Refugee and Asylum Seeker community have not been able to work in lockdown and are not eligible for benefits and furlough pay. They have had to rely on Food Banks because they can't afford to shop at the supermarket; and the demand for these services is growing rapidly. 

Barnet Refugee Services set up a Food Bank in North London (Edgware) at the beginning of lockdown to ensure Asylum Seekers and Refugee families don't go hungry. In their first week of opening they provided food packages to 120 households, and now there are over 200 families depending on this service.

Please help us to ensure the Food Bank is well stocked. 100% of all money donated will go to buying food and essential supplies for the Food Bank. 

Thank you so much for your support. "
"Emergency Appeal for Food Banks During COVID-19","Brighton, South East England, United Kingdom",https://www.gofundme.com/f/emergency-appeal-for-food-banks-during-covid19,9070,10000,2020-04-21T21:03:49.0000000-05:00,03/20/2020,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",232,"Coronavirus or COVID-19 is having a devastating impact on our society. The disease has led to measures beyond our wildest imaginations, including orders for self-isolation, concerns over the ability of public services to cope, major impacts on local business, and emergency legislation.

While no one has been spared from the fallout, there are certain groups who especially need our support. One of them is The Trussell Trust, which runs 428 food banks across the UK to provide emergency food to those in crisis.

The Trussell Trust and other food banks are under strain, with panic-buying and stockpiling only making things worse. Food donations have dropped sharply, especially some essential items, so the Trust now needs to buy them to make sure people coming to its food banks have what they most need. No-one should have to rely on a foodbank but the number of people depending on them is likely to increase because of the hardship caused by job losses and business closures as a result of the coronavirus​.

That’s why I am appealing for donations to The Trussell Trust, to help them ensure that the most disadvantaged in our society have enough to eat..


I know these are deeply worrying times, but I also know that we have the ability to pull together to get through this crisis. Together we can make sure that no-one is left behind. 

Thank you for whatever you can give.

Sincerely, 

Caroline Lucas MP"
"ShipShape Emergency COVID-19 Food Bank","Sheffield, Yorkshire and the Humber, United Kingdom",https://www.gofundme.com/f/shipshape-emergency-covid19-food-bank,3125,3400,2020-05-07T08:25:52.0000000-05:00,03/25/2020,,,84,"For over ten years ShipShape has been supporting people and communities across Sheffield to improve their health and wellbeing.

The work that we do is adapting quickly in response to the COVID-19 outbreak. One of the most important changes to our offering is a new emergency food bank, to ensure that those who are vulnerable or isolated are able to access food and supplies during this difficult time.

Donations given through this fundraiser will go towards purchasing necessary items for emergency packages, and supporting distribution to those unable to leave their homes. Each session costs the organisation around £80 in food and deliveries - our target of £3400 would allow us to run the food bank for a full year, through this crisis and the months that will follow.

In this worrying and uncertain time it is crucial that those in our communities who are most vulnerable are looked after. Your donations will go towards ensuring that those in need have access to essential supplies.

Thank you so much for your generosity, and even if you can't afford to donate at this please share this fundraiser with others."
"Christmas food bank donation","Barton Seagrave, East Midlands, United Kingdom",https://www.gofundme.com/f/9b9tn-christmas-food-bank-donation,1040,300,2019-12-09T15:40:24.0000000-06:00,11/12/2019,,,72,"As per my Facebook post, it would be great if a group of us could make a small donation that collectively would make a huge difference to those that rely on a foodbank just to survive day in, day out! How great would it be if we could bring some Christmas cheer to those who need a hand. Thanks for your support. Rich"
