Key,Fundraiser,Raised,Charity,Operates,Postcode,Activities,Description,Address,FirstDonation,LastDonation
10,"Carol Shutkever",0,"Herts Young Homeless","Throughout London",,,"Herts Young Homeless – making a difference to the lives of young homeless people

At hyh, we believe that every young person deserves a safe, warm and comfortable home. We’re committed to making a real difference to the lives of young people aged 16 - 24 in the local community who are homeless or threatened with homelessness. We offer support, advice and information and help them achieve the skills they need to be able to live independently.
We work closely with vulnerable people and their families, using mediation to help them stay in their homes whenever we can, and if that’s not possible, providing practical solutions and crisis intervention to make sure they feel safe and secure in their new environment. 
hyh also gives valuable support to groups with specific needs, such as care leavers, young offenders, those with mental health issues and people recovering from drug and alcohol abuse. We want to make sure they have a firm base for a brighter future – and your fundraising activities are an essential part of this.
Where will the money go? 
All the funds you raise will contribute towards helping vulnerable young people who are either homeless or faced with homelessness find a safe place to live, receive support when they need it and have someone to turn to when they feel they have nowhere else to go. Most of all, you’ll be giving them hope and a real opportunity for a positive future.



 

","1st Floor,Gracemead House, Woods Avenue  Hatfield,Hertfordshire  AL10 8HX",,
11,"Caroline Neill",0,"Herts Young Homeless","Throughout London",,,"Herts Young Homeless – making a difference to the lives of young homeless people

At hyh, we believe that every young person deserves a safe, warm and comfortable home. We’re committed to making a real difference to the lives of young people aged 16 - 24 in the local community who are homeless or threatened with homelessness. We offer support, advice and information and help them achieve the skills they need to be able to live independently.
We work closely with vulnerable people and their families, using mediation to help them stay in their homes whenever we can, and if that’s not possible, providing practical solutions and crisis intervention to make sure they feel safe and secure in their new environment. 
hyh also gives valuable support to groups with specific needs, such as care leavers, young offenders, those with mental health issues and people recovering from drug and alcohol abuse. We want to make sure they have a firm base for a brighter future – and your fundraising activities are an essential part of this.
Where will the money go? 
All the funds you raise will contribute towards helping vulnerable young people who are either homeless or faced with homelessness find a safe place to live, receive support when they need it and have someone to turn to when they feel they have nowhere else to go. Most of all, you’ll be giving them hope and a real opportunity for a positive future.



 

","1st Floor,Gracemead House, Woods Avenue  Hatfield,Hertfordshire  AL10 8HX",,
12,"Caroline Sides",25,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",10/05/2020,10/05/2020
13,"Charlotte Daborn",0,"Caring In Bristol",,,,"We are Caring in Bristol. We find gaps in Bristol's provision for people experiencing homelessness and work together with our community to creat innovative projects to fill them. From prevention to emergency support, our projects range from producing free citywide resources that empower our city to act, to investing in youth support, helping influence change from the very start.
Caring in Bristol has grown from the ground up with the support of thousands of caring individuals and supportersw and your generous donations of money and time. 
Homelessness is not a simple issue with a simple solution. At Caring in Bristol, we belive in community solutions to community problems. We need your support to continue to tackle homelessness and support people in need in our city. 
Your actions matter.

","The Night Shelter,14 Little Bishop Street  Bristol,  BS2 9JF",,
14,"Claire Penberthy",50,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",10/05/2020,10/05/2020
15,"Dai Power",0,"Social Bite Fund",Zimbabwe,"ME14 2EX","To advance education in any part of the world in particular but not exclusively by providing for third world countries, books and equipment to school, polytechnic, university public and other libraries and by providing information and advice regarding the effective mans of providing these.","The Social Bite Fund (SC045232) is a registered Scottish charity with a mission to end homelessness in Scotland.
Profits from its Social Enterprise Cafes (in Edinburgh, Glasgow and Aberdeen) contribute to the mission, with 1 in 3 of its employees having experienced homelessness, or extreme barriers to employment. In addition to the cafes, Social Bite also has a restaurant called Vesta Bar & Kitchen, on Monday afternoons the restaurant opens exclusively to people experiencing homelessness to dine for free.
Since 2017 Social Bite has ran annual mass sleep out events called Sleep in the Park raising almost £8m with a further 18,000 people taking part. This movement has helped pioneer some innovitate programmes to help tackle the issues of homelessness here in Scotland. The Social Bite Village launched in 2018; a total of 10 nest houses were built on dissused council land in the north of Edinburgh to provide a safe and secure community for individuals to take the next step in life -a positive solution to unsuitable temporary accommodation.
In 2018 Social Bite ran its first youth fundraising campaign called Wee Sleep Out, a campaign encouraging young peple aged 8-16 to give up their beds for a night in support of ending homelessness. 5000 young people took part raising almost £100,000.
In addition to the Village, Social Bite has also invested £3m into Scotland's Housing First Pathfinder project, aiming at housing over 800 individuals by 2020. Housing First has proven successful in other countires around the world - tenants receive full wrap around support and studies show that after two years, individuals are able to sustain their own tenancy. You can find out more, including a count of how many individuals have been housed so far in Scotland at social-bite.co.uk/housing-first.
You can support the mission today by making a donation. Together we can end homelessness in Scotland.","1 Leith Walk,  Edinburgh,Midlothian  EH6 8LN",,
16,"Daniel Foord",176.54,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",10/05/2020,15/05/2020
17,"Elena Kite",110,"Herts Young Homeless","Throughout London",,,"Herts Young Homeless – making a difference to the lives of young homeless people

At hyh, we believe that every young person deserves a safe, warm and comfortable home. We’re committed to making a real difference to the lives of young people aged 16 - 24 in the local community who are homeless or threatened with homelessness. We offer support, advice and information and help them achieve the skills they need to be able to live independently.
We work closely with vulnerable people and their families, using mediation to help them stay in their homes whenever we can, and if that’s not possible, providing practical solutions and crisis intervention to make sure they feel safe and secure in their new environment. 
hyh also gives valuable support to groups with specific needs, such as care leavers, young offenders, those with mental health issues and people recovering from drug and alcohol abuse. We want to make sure they have a firm base for a brighter future – and your fundraising activities are an essential part of this.
Where will the money go? 
All the funds you raise will contribute towards helping vulnerable young people who are either homeless or faced with homelessness find a safe place to live, receive support when they need it and have someone to turn to when they feel they have nowhere else to go. Most of all, you’ll be giving them hope and a real opportunity for a positive future.



 

","1st Floor,Gracemead House, Woods Avenue  Hatfield,Hertfordshire  AL10 8HX",07/05/2020,15/05/2020
18,"Elizabeth d'Erlanger",310,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",07/05/2020,14/05/2020
19,"Elliot Guman",0,"Herts Young Homeless","Throughout London",,,"Herts Young Homeless – making a difference to the lives of young homeless people

At hyh, we believe that every young person deserves a safe, warm and comfortable home. We’re committed to making a real difference to the lives of young people aged 16 - 24 in the local community who are homeless or threatened with homelessness. We offer support, advice and information and help them achieve the skills they need to be able to live independently.
We work closely with vulnerable people and their families, using mediation to help them stay in their homes whenever we can, and if that’s not possible, providing practical solutions and crisis intervention to make sure they feel safe and secure in their new environment. 
hyh also gives valuable support to groups with specific needs, such as care leavers, young offenders, those with mental health issues and people recovering from drug and alcohol abuse. We want to make sure they have a firm base for a brighter future – and your fundraising activities are an essential part of this.
Where will the money go? 
All the funds you raise will contribute towards helping vulnerable young people who are either homeless or faced with homelessness find a safe place to live, receive support when they need it and have someone to turn to when they feel they have nowhere else to go. Most of all, you’ll be giving them hope and a real opportunity for a positive future.



 

","1st Floor,Gracemead House, Woods Avenue  Hatfield,Hertfordshire  AL10 8HX",,
20,"Emily Goldfinch",142.4,"Herts Young Homeless","Throughout London",,,"Herts Young Homeless – making a difference to the lives of young homeless people

At hyh, we believe that every young person deserves a safe, warm and comfortable home. We’re committed to making a real difference to the lives of young people aged 16 - 24 in the local community who are homeless or threatened with homelessness. We offer support, advice and information and help them achieve the skills they need to be able to live independently.
We work closely with vulnerable people and their families, using mediation to help them stay in their homes whenever we can, and if that’s not possible, providing practical solutions and crisis intervention to make sure they feel safe and secure in their new environment. 
hyh also gives valuable support to groups with specific needs, such as care leavers, young offenders, those with mental health issues and people recovering from drug and alcohol abuse. We want to make sure they have a firm base for a brighter future – and your fundraising activities are an essential part of this.
Where will the money go? 
All the funds you raise will contribute towards helping vulnerable young people who are either homeless or faced with homelessness find a safe place to live, receive support when they need it and have someone to turn to when they feel they have nowhere else to go. Most of all, you’ll be giving them hope and a real opportunity for a positive future.



 

","1st Floor,Gracemead House, Woods Avenue  Hatfield,Hertfordshire  AL10 8HX",07/05/2020,15/05/2020
21,"Emma Weaver",50.75,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",09/05/2020,13/05/2020
22,"Fr Ugo Ikwuka",1540.54,"The Westminster Roman Catholic Diocesan Trust",,,,"The Diocese of Westminster is the Roman Catholic Church’s presence in London north of the Thames, in Middlesex, Hertfordshire and a small part of Surrey in the United Kingdom.  It is comprised of 215 parishes serving more than 450,000 Catholics in the Diocese and tens of thousands of visitors to London annually. 
We also have 220 Catholic schools in the Diocese serving more than 85,000 students, providing for their religious, academic and personal formation where Catholic values are espoused across programmes.  
As the Catholic Church in this region, we administer the Sacraments, offer Mass and prayer, conduct social action ministries, foster religious community and formation, and are active in the civic discourse serving all of God’s people regardless of creed.  

To find out more please visit: http://www.rcdow.org.uk/ ","Diocese Of Westminster,Vaughan House  46 Francis Street,London  SW1P 1QN",09/11/2018,09/04/2020
23,"Gail Foreshew",269.9,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",02/05/2020,09/05/2020
24,"Grace Marchant-Ryan",0,"Herts Young Homeless","Throughout London",,,"Herts Young Homeless – making a difference to the lives of young homeless people

At hyh, we believe that every young person deserves a safe, warm and comfortable home. We’re committed to making a real difference to the lives of young people aged 16 - 24 in the local community who are homeless or threatened with homelessness. We offer support, advice and information and help them achieve the skills they need to be able to live independently.
We work closely with vulnerable people and their families, using mediation to help them stay in their homes whenever we can, and if that’s not possible, providing practical solutions and crisis intervention to make sure they feel safe and secure in their new environment. 
hyh also gives valuable support to groups with specific needs, such as care leavers, young offenders, those with mental health issues and people recovering from drug and alcohol abuse. We want to make sure they have a firm base for a brighter future – and your fundraising activities are an essential part of this.
Where will the money go? 
All the funds you raise will contribute towards helping vulnerable young people who are either homeless or faced with homelessness find a safe place to live, receive support when they need it and have someone to turn to when they feel they have nowhere else to go. Most of all, you’ll be giving them hope and a real opportunity for a positive future.



 

","1st Floor,Gracemead House, Woods Avenue  Hatfield,Hertfordshire  AL10 8HX",,
25,"Hannah Doogan",135,"Herts Young Homeless","Throughout London",,,"Herts Young Homeless – making a difference to the lives of young homeless people

At hyh, we believe that every young person deserves a safe, warm and comfortable home. We’re committed to making a real difference to the lives of young people aged 16 - 24 in the local community who are homeless or threatened with homelessness. We offer support, advice and information and help them achieve the skills they need to be able to live independently.
We work closely with vulnerable people and their families, using mediation to help them stay in their homes whenever we can, and if that’s not possible, providing practical solutions and crisis intervention to make sure they feel safe and secure in their new environment. 
hyh also gives valuable support to groups with specific needs, such as care leavers, young offenders, those with mental health issues and people recovering from drug and alcohol abuse. We want to make sure they have a firm base for a brighter future – and your fundraising activities are an essential part of this.
Where will the money go? 
All the funds you raise will contribute towards helping vulnerable young people who are either homeless or faced with homelessness find a safe place to live, receive support when they need it and have someone to turn to when they feel they have nowhere else to go. Most of all, you’ll be giving them hope and a real opportunity for a positive future.



 

","1st Floor,Gracemead House, Woods Avenue  Hatfield,Hertfordshire  AL10 8HX",08/05/2020,11/05/2020
26,"Hill Family",705,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",01/05/2020,16/05/2020
27,"Holly Harding",0,"Herts Young Homeless","Throughout London",,,"Herts Young Homeless – making a difference to the lives of young homeless people

At hyh, we believe that every young person deserves a safe, warm and comfortable home. We’re committed to making a real difference to the lives of young people aged 16 - 24 in the local community who are homeless or threatened with homelessness. We offer support, advice and information and help them achieve the skills they need to be able to live independently.
We work closely with vulnerable people and their families, using mediation to help them stay in their homes whenever we can, and if that’s not possible, providing practical solutions and crisis intervention to make sure they feel safe and secure in their new environment. 
hyh also gives valuable support to groups with specific needs, such as care leavers, young offenders, those with mental health issues and people recovering from drug and alcohol abuse. We want to make sure they have a firm base for a brighter future – and your fundraising activities are an essential part of this.
Where will the money go? 
All the funds you raise will contribute towards helping vulnerable young people who are either homeless or faced with homelessness find a safe place to live, receive support when they need it and have someone to turn to when they feel they have nowhere else to go. Most of all, you’ll be giving them hope and a real opportunity for a positive future.



 

","1st Floor,Gracemead House, Woods Avenue  Hatfield,Hertfordshire  AL10 8HX",,
28,"Isabella O'Connor",277.5,"Wycombe Homeless Connection",Essex,"CO15 1LE","We promote education, training and entertainment through performances of live shows and arts displays.","Wycombe Homeless Connection believe that every person who is homeless, or at risk of homelessness in our community has worth and should have a fresh start no matter what their situation.
Thank you for joining us to change the lives of vulnerable people in our community. 
","Oakley Hall,8 Castle Street  High Wycombe,  HP13 6RF",30/04/2020,14/05/2020
29,"JLL Birmingham",10,"St Basils",Surrey,"GU8 6BU","Local fundraising and support","St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils, St Basils.Youth Homelessness, Youth Homelessness, Youth Homelessness, Youth Homelessness, Youth Homelessness, Youth Homelessness, Youth Homelessness, Youth Homelessness, Youth Homelessness, Youth Homelessness, Youth Homelessness, Youth Homelessness.
 ","St. Basil,Heath Mill Lane  Birmingham,  B9 4AX",20/02/2020,20/02/2020
30,"James Morgan",663,"Whitechapel Centre","Birmingham City, Solihull","B45 9SN ","Services for people with acquired Brain Injury - programmes aimed at different stages of developement - meeting a variety of needs.
Services in the Community for carers and families, giving assessment and support,Counselling, BMEG services and training.
Lifestyle Service offering 1 to 1 support for Brain Injured peop;le to access social,leisure and vocational apportunities in the Community.","The Whitechapel Centre is the leading homeless and housing charity for the Liverpool region. We work with people who are sleeping rough, living in hostels or struggling to manage their accommodation. We are committed to helping people find and maintain a home and learn the life skills essential for independent living.

Thank you for supporting the Whitechapel Centre. Your donation will help us to make a lasting change to lives of people who are homeless. 

£5 could pay for a cooked breakfast for 10 rough sleepers. 
£15 could buy an advice session, securing accommodation for someone who is homeless","Langsdale Street,Everton  Liverpool,  L3 8DU",24/03/2020,16/05/2020
31,"Jan Meredith",280,"The Andrew Clark Trust",Dorset,,,"
The Andrew Clark Trust is a UK registered charity which was established in 2004 with the aim to help in the development of a rural community in Burma (Myanmar), in need of support for education and healthcare for children. Thanks to the donors in the UK and around the world, the Trust is able to sponsor young children through state education from primary school to further education in Burma. Our basic belief is that the route to development is only through education and that requires the support of healthcare. Helping people to help themselves through education and self reliance is the essence of the Trusts existence and we aim to channel all support from donors and sponsors to this end.
","Courts Cottage,Acrise  Folkestone,Kent  CT18 8LJ",18/01/2020,03/02/2020
32,"Jan Yarker",195,"The Bromley Homeless Shelter",,,,"Throughout the year The Bromley Homeless Shelter operates an advice service to help prevent people from becoming homeless or to resolve their problems if they are already homeless.

During the winter months we operate two winter night shelters, providing a warm place to sleep and a hot meal.","Bromley United Reformed Church,20 Widmore Road  Bromley,  BR1 1RY",09/11/2019,12/11/2019
33,"Janet Wooff",0,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",,
34,"Jean Parkinson",2325,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",06/05/2020,16/05/2020
35,"Kate Forman",447,"Herts Young Homeless","Throughout London",,,"Herts Young Homeless – making a difference to the lives of young homeless people

At hyh, we believe that every young person deserves a safe, warm and comfortable home. We’re committed to making a real difference to the lives of young people aged 16 - 24 in the local community who are homeless or threatened with homelessness. We offer support, advice and information and help them achieve the skills they need to be able to live independently.
We work closely with vulnerable people and their families, using mediation to help them stay in their homes whenever we can, and if that’s not possible, providing practical solutions and crisis intervention to make sure they feel safe and secure in their new environment. 
hyh also gives valuable support to groups with specific needs, such as care leavers, young offenders, those with mental health issues and people recovering from drug and alcohol abuse. We want to make sure they have a firm base for a brighter future – and your fundraising activities are an essential part of this.
Where will the money go? 
All the funds you raise will contribute towards helping vulnerable young people who are either homeless or faced with homelessness find a safe place to live, receive support when they need it and have someone to turn to when they feel they have nowhere else to go. Most of all, you’ll be giving them hope and a real opportunity for a positive future.



 

","1st Floor,Gracemead House, Woods Avenue  Hatfield,Hertfordshire  AL10 8HX",15/02/2020,28/04/2020
36,"Kate Scullion",549,Crisis,India,"E13 0PY",,"
Crisis is the national charity for homeless people. We are committed to ending homelessness. 
Every day we see the devastating impact homelessness has on people’s lives. Every year we work side by side with thousands of homeless people, to help them rebuild their lives and leave homelessness behind for good.
Through our pioneering research into the causes and consequences of homelessness and the solutions to it, we know what it will take to end it.
Together with others who share our resolve, we bring our knowledge, experience and determination to campaign for the changes that will solve the homelessness crisis once and for all.
We bring together a unique volunteer effort each Christmas, to bring warmth, companionship and vital services to people at one of the hardest times of the year, and offer a starting point out of homelessness. 
We know that homelessness is not inevitable. We know that together we can end it.
Registered Charity Numbers: E&W1082947, SC040094
 

","Crisis,66 Commercial Street  London,London  E1 6LT",08/02/2020,20/04/2020
37,"Kianne Ball",0,"YMCA Sutton Coldfield",,,,"YMCA Sutton Coldfield is a charity providing a number of much needed programmes and services for young people in the North Birmingham area.  From youth clubs for young disabled people; support and respite services for young carers through to affordable quality housing provision and much needed outreach work on the streets.  And that’s just for starters. There’s lots more we want to achieve.
Inspired by our Christian values the team of dedicated staff and volunteers ensure that young people, children and their families within the local community are at the heart of everything we do.
Whilst we are affiliated to YMCA England, we are responsible for raising our own funds and welcome help from the local community to be able to continue our work.  We love to hear from people who are interested in helping us to continue our work.","George Williams House,Watson Close  Sutton Coldfield,West Midlands  B72 1LE",,
