Title,Location,Url,Details.Raised,Details.Target,Details.MostRecentDonation,Details.Created,Details.Organization,Details.OrganizationDetails,Details.DonationCount,Details.Story
"Donate Tin Can Cook to foodbanks","Southend-on-Sea, East of England, United Kingdom",https://www.gofundme.com/f/donate-tin-can-cook-to-foodbanks,44606,30000,2020-04-20T10:36:04.0000000-05:00,11/01/2018,,,1000,"PLEASE SEE UPDATE SECTION FOR IMPORTANT UPDATE - IT'S VERY GOOD NEWS! :)

I'm Jack Monroe, and in 2011-2013 I lived in desperate poverty. I was eventually referred to a food bank, where I survived for six months on kindness and donated tins and packets. I started to write about my experiences online, and haven't stopped since. I now write cookery books teaching people to cook on the smallest of budgets and smallest of kitchens. I work with food banks, charities, homelessness shelters, and campaign against austerity and for decent jobs and wages. 

Tin Can Cook is my fourth cookbook, and I insisted on writing it, partly as an entry-level cookbook for people who have never learned to cook, but mostly to restore some dignity to a food bank box. To give people choices, and agency, and good food, and resources. Tin Can Cook is a book of 75 easy, fun, delicious recipes, made from tin cans! Recipes include Carrot Cake Overnight Oats from a tin of carrots, Tinned Spud Fishcakes, a Chicken And Ham Pie, lots of curries, Cherry Chocolate Fudge, and how to cook pasta from a kettle or microwave. Tin Can Cook has received a lot of encouragement since it was first announced, with Jay Rayner from the Guardian describing it as 'both a brilliant thing and necessary', and support from Tom Parker Bowles, Ryan Riley from LifeKitchen, Nigella Lawson, and an article in the Telegraph.

I have donated my previous books to food banks and told them they can photocopy the pages to hand out to their clients, and they have done so in their thousands. I have made thousands of recipe cards to hand out to food bank users in conjunction with Oxfam and the Trussell Trust. But I want to do more.

I want this book to reach as many people as it needs to. I'm not in this to make money - the royalties for an author are laughably piteous, 7-10% of the RRP - so this isn't about flogging books. It's about giving people hope, dignity, and decent meals in the most dire of situations. And you can help.

At the moment, the retail price for Tin Can Cook is £6.99. I also need to factor in postage, packaging, and administrative costs. (I have done a Kickstarter before and ended up personally very out of pocket for not accurately factoring in postage costs, so I am being over cautious with my calculations, as it is better to overdeliver than disappoint. If I do find a way to get around the postage costs to deliver to approximately 400 different locations, I will donate the difference directly to the Trussell Trust and let you know).

I am also in conversation with corporate sponsors to see if they would match the books donated by you, which would be fantastic!

So, with postage, admin costs, packaging, and all that nonsense, at the moment I estimate that for every £9 raised, one book and three tins will be donated to a foodbank. (If this changes for any reason, and it shouldn't, I will let you know).

Books will be evenly distributed throughout the Trussell Trust network of food banks across the whole of the UK - you can find the areas that they cover here: https://www.trusselltrust.org/get-help/find-a-foodbank/ (but it's pretty much all of them!)

And what do I get out of this? Well to be honest, not much at all. But that's not what I'm doing it for. I wish I was rich enough to just donate a million books for every food bank user in Britain, every family in poverty, every school, every library, but I just earn the Living Wage (yes, really) and some months even that's a bit hairy, so I can't do this by myself. But you can help. 

I know £9 is a lot of money to some people, so pledges start at £5, meaning you can co-fund a book with another donor. For every £9 raised, one book and three tins will be donated to a food bank, and they will go to a family or a person who would be at risk of starving without emergency food help.

To find out more about the work of the Trussell Trust, click here: https://www.trusselltrust.org/what-we-do/

To find out more about what I do, click here: https://www.independent.co.uk/helpahungrychild/jack-monroe-worst-christmas-help-a-hungry-child-food-poverty-the-independent-christmas-appeal-the-a8085251.html

For my backstory, click here: https://cookingonabootstrap.com/2012/07/30/hunger-hurts/

Every penny raised will go towards making a real difference, so thankyou for your help.

The Trussell Trust currently operate 420 food banks across the UK. Here's a breakdown of where the money raised here will go.

If we raise £3,780, every Trussell Trust food bank in the UK can receive one copy of Tin Can Cook to photocopy and hand out the photocopies to their clients - I've waived the copyright for food banks, they can copy it to their hearts content. I did this with previous books and foodbank managers said it made a real difference. And 1260 tins of food will be donated across the UK to feed people in need.

If we raise £7,560, every Trussell Trust food bank in the UK will receive two copies of the book, and 2,520 tins of food will be donated.

If we raise £37,800, every TT food bank in the UK will receive ten copies of Tin Can Cook, to distribute to 4,200 food bank users, and 12,600 tins of food will be donated across the UK to feed people who would be at risk of going hungry otherwise.

To give a book and a parcel of tins to every food bank user in Britain, we would need to raise around £7m. So every donation counts. Every single donation counts. If you can't afford to donate, please share on your social media instead - it's free! 

If you have any further questions, or for press enquiries, please get in touch on thetincancook@gmail.com and I or my admin angel, Caroline, will get back to you.

Thanks again for your support - I know this book would have made a real difference to me on the breadline, and I want to make that difference for other people.

Jack Monroe, author, Tin Can Cook. 

[BOOKS WILL BE POSTED AFTER THE RELEASE DATE IN MAY 2019]"
"Shaving my head for Foodbank (covid-19)","London, Greater London, United Kingdom",https://www.gofundme.com/f/alice039s-campaign-for-sufra-nw-london,1263,500,2020-04-30T04:02:08.0000000-05:00,04/09/2020,"Sufra NW London","Registered nonprofitDonations eligible for Gift Aid.",64,"I will be shaving my head on the 30th April in the hopes to raise money that will then be shared in supplies to people who need it most during this time. 

Your donation will go towards emergency supplies of essential food and toiletries. 

Sufra NW London is a community food bank and kitchen that provides emergency food aid to families in crisis. The families we support simply can’t afford to panic buy and hoard food, they’re already knocking on our door in search of basic supplies.

I appreciate it's a difficult time for everyone but I hope we can come together to help! Thank you for your support!"
"The Greenwich Food Bank Fund","London, Greater London, United Kingdom",https://www.gofundme.com/f/the-greenwich-food-bank-fund,22784,30000,2020-05-14T08:27:53.0000000-05:00,03/25/2020,"GREENWICH FOODBANK LIMITED","Registered nonprofitDonations eligible for Gift Aid.",465,"The world is experiencing an unprecedented challenge. It is more important than ever that we work together to support one another. The Greenwich Food Bank Fund has launched to provide support to those most at need in our community. The Greenwich Food Bank Fund Right now many of us are understandably feeling anxious and vulnerable, but there are many among us that need immediate support in order to ensure that they can have access to food. Greenwich residents have a proud history of looking after one another - and never has this been more important than now. So I have been working with Greenwich Food Bank to create the Greenwich Food Bank Fund. As the borough faces one of its most important challenges in living memory, the Fund has been set up to ensure that those in need across the borough have access to the help they need. Please, even during this most difficult of times, we ask that - if possible - you donate and contribute to the common good of Greenwich. Please be assured that even the smallest contribution can make the biggest difference. Thank you for your generosity. FAQs Where will the funds go? The funds will go directly to the most vulnerable people during this crisis. They will be administered by the Greenwich Food Bank and delivered to food banks across the borough, from Blackheath to Eltham, Kidbrooke, Thamesmead and beyond. A full list of food bank locations is available at https://greenwich.foodbank.org.uk/locations/. If I donate will it go directly to those who need it? Yes, your donation will go directly to Greenwich Food Bank. Unlike some other platforms, GoFundMe does not charge a fundraising fee although it takes a small transaction fee. See https://www.gofundme.com/c/free-fundraising for more details. You do not need to leave a 'tip' if you don't want to. Will the money be spent in Greenwich? Yes. Is there anything else I can do? The most immediate need is to raise finance, so that purchasing can continue. However there is also a need to: (1) donate food where possible; and (2) create a team of delivery drivers as the Food Bank moves to a delivery model. If you are able to help with either of these, please email contact@greenwichfoodbank.co.uk. Where can I find more information about Covid-19? For general information on CV-19, please visit the Government website: https://www.gov.uk/government/topical-events/coronavirus-covid-19-uk-government-response or the NHS at https://www.nhs.uk/conditions/coronavirus-covid-19/. If you have concerns about your own health, please call the NHS on 111."
"Keep Fair Frome Foodbank Stocked","Frome, South West England, United Kingdom",https://www.gofundme.com/f/keep-fair-frome-foodbank-stocked,4430,-1,2020-05-12T07:31:05.0000000-05:00,03/13/2020,,,176,"The Fair Frome food bank already does incredible work helping those in most need. But the coronavirus epidemic will be a massive challenge for them, on a whole new scale. More and more people are going to need their help over the next few months.

People on zero hours contracts won't get paid.

Food will need to be delivered to the elderly and sick who are self-isolating.

If schools close, many children will lose their main meal and need to be fed.

And all this is happening at a time when the rest of us are going to the supermarket less and - let's be honest - thinking about our own food cupboards first.

So, here's a very simple way to help. You give money. Every time we get to £100 I ask the foodbank what they need most and go and get it. If things get really bad, I will organise a delivery. We all keep doing this over and over again until things get better.


Why aren't Fair Frome doing this? Well, they've got a heck of a lot on their plate right now and this is one way I can take the load off them. It's also easier for me to set up a fundraiser as an individual.

Who am I anyway? Good question, I have volunteered for the food bank before, and here I am with Lenka, their co-ordinator, in the food bank. Fair Frome know that I am making this appeal and are very happy to have the fundraising happen.


I will post the receipt on here every time I go shopping.

But if you're still worried, please do take some food to the Fair Frome collection points in Sainsburys, Asda, Frome Wholefoods and Barnardos instead. 


Frome is a great community. Let's channel this and do our best to see all our town through the next few months.

"
"Head shave for Govanhill food bank","Glasgow, Scotland, United Kingdom",https://www.gofundme.com/f/head-shave-for-govanhill-food-bank,339,-1,2020-03-31T17:46:17.0000000-05:00,03/29/2020,,,29,"Hi guys,

wanting to to raise some money for the Queen’s Park Govanhill Parish Church Foodbank ☺️ What best way to do this than shaving your Barnet off 

please donate anything amount you want. Photo when done "
"Ivybridge Foodbank","Ivybridge, South West England, United Kingdom",https://www.gofundme.com/f/ivybridge-foodbank,2273,1000,2020-05-14T16:43:23.0000000-05:00,04/11/2020,,,67,"We don’t think anyone in our community should have to face going hungry, but we need your help to make this happen. Your gift of financial support can make a real difference. 

We are part of a nationwide network of foodbanks, supported by The Trussell Trust, working to combat poverty and hunger across the UK. Over 90% of the food distributed by foodbanks in The Trussell Trust network is donated by the public.

Ivybridge Foodbank is seeing unprecedented numbers of the community in crisis, this has been reflected in what has proven to be an extremely busy period with more individuals falling into crisis as the impact of Covid-19 unfolds.

Now more than ever, during the Covid-19 Pandemic we need your support, with our stock of some product dwindling rapidly. 

We urge you all to stay safe, but not to suffer in silence.
We are here to help, thank you from all the volunteers at the Ivybridge Foodbank. "
"Support our foodbank and Childrens Appeal","Everton, North West England, United Kingdom",https://www.gofundme.com/f/support-our-foodbank,21320,25000,2020-05-14T22:53:29.0000000-05:00,04/02/2019,"Liverpool Six Community Association","Registered nonprofitDonations eligible for Gift Aid.",600,"Do you want to join me in making a difference? I'm raising money in aid of Liverpool Six Community Association and every donation will help. Thank you in advance for your contribution to this cause that means so much to me.

More information about Liverpool Six Community Association: At our Community Centre we provide advice services, lunch clubs, youth clubs, a foodbank, tea dances, short breaks away for the elderly and children. The children we work with come to the L6 Centre very distressed and hungry. We run a youth club for these disadvantaged children of our community and provide them with a hot meal 3 times a week. We work closely with the local schools and the teachers who refer vulnerable children and families. We also ensure we support families who are deprived at Christmas and Easter 

We need funds to keep our 15 Freezers kept on after Liverpool Council stopped our funding. And we want to support 5000 families this Christmas"
"Head Shave for Carlisle Foodbank","Tindale Fell, North West England, United Kingdom",https://www.gofundme.com/f/head-shave-for-carlisle-foodbank,1700,500,2020-05-16T16:42:56.0000000-05:00,04/30/2020,,,127,"I’m planning on shaving my hair off, this is a 
massive deal for me!!!! 
Eeek

I want to support my local food bank, this is a 
resource that is much needed, the food bank is 
working harder than ever to support our 
vulnerable communities and their pets. Photos of various hair styles will be provided for 
your amusement! "
"Golden Cross - Cardiff Foodbank","G X Bar, Wales, United Kingdom",https://www.gofundme.com/f/golden-cross-cardiff-foodbank,315,250,2020-05-01T14:08:58.0000000-05:00,04/30/2020,"Cardiff Foodbank","Registered nonprofitDonations eligible for Gift Aid.",19,"The Golden Cross are raising money for the Cardiff Foodbank."
"Edinburgh South East Foodbank","Edinburgh, Scotland, United Kingdom",https://www.gofundme.com/f/edinburgh-south-east-foodbank,1245,250,2020-05-03T04:11:26.0000000-05:00,04/17/2020,,,41,"Edinburgh South Foodbank based in Burdiehouse is running low on supplies. I checked with them and they have a real need for tinned meats (stew, meatballs etc). They also are always in need of long-life milk. 

In normal times it would ok to ask folks to drop stuff off there, however, currently that's difficult. I plan to take any money raised and organise a bulk buy to be delivered directly to them. Alternatively, you can contact them directly to make a donation to them.

While we're all worrying about how much we're eating during ""lockdown"", let's lookout for those who don't have that problem xx"
"Swale Foodbank Running Costs","Sittingbourne, South East England, United Kingdom",https://www.gofundme.com/f/swale-foodbank-running-costs,10617,15000,2020-05-16T13:09:18.0000000-05:00,07/15/2019,,,146,"Swale Foodbank has various ongoing costs that need to be met. We are fundraising to cover those costs."
"Nether Edge Primary School Helps Feed S6 Foodbank","Sheffield, Yorkshire and the Humber, United Kingdom",https://www.gofundme.com/f/Nether-Edge-Primary-Feeds-S6-Foodbank,1332,1000,2020-05-11T14:21:41.0000000-05:00,04/20/2020,"THE PHILADELPHIA NETWORK LIMITED","Registered nonprofitDonations eligible for Gift Aid.",85,"Do you want to join us in making a difference? As a school, we are raising money in aid of the S6 Foodbank, feeding people in our local area. The Philadelphia Network will help to purchase food for the foodbank and every donation will help. Thank you in advance for your contribution to this cause that means so much to us. 

For further information, please contact info@sheffields6.foodbank.org.uk

You can find more information by visiting the website https://sheffields6.foodbank.org.uk/

Don't forget we are available for updates on social media @s6foodbank on Twitter, Facebook & Instagram"
"Rhondda Foodbank Covid-19 Appeal","Rhondda Labour Party, Wales, United Kingdom",https://www.gofundme.com/f/rhondda-foodbank-covid19-appeal,3325,4000,2020-04-30T04:11:16.0000000-05:00,04/23/2020,,,197,"Rhondda Foodbank opened in Nov 2009 to give people in crisis hope, practical help, and a brighter future. We value all our supporters who make a big difference. We provide three days’ emergency food and support to local families and people in crisis. 

Covid19 is impacting Rhondda Foodbank in the following ways:

1. Increased demand across the Rhondda with prospects of getting worse.

2. Reduction in food donations because of the change in shopping habits.

3. Self-isolation of some of our regular volunteers.

Our goal with your support is to ensure that no-one in the Rhondda goes hungry during this crisis. 

For more information about the Rhondda Foodbank visit our website here.

You can also like our facebook page here."
"Support Seahaven Foodbank","Newhaven, South East England, United Kingdom",https://www.gofundme.com/f/seahaven-foodbank,1798,1000,2020-05-16T03:51:51.0000000-05:00,04/16/2020,"Sussex Community Development Association","Registered nonprofitDonations eligible for Gift Aid.",39,"Seahaven Foodbank, also known as Newhaven Foodbank, provides food parcels to families and individuals in Newhaven, Sussex, and the surrounding areas.

The fall off in food donations caused by the Covid-19 crisis and the jump in demand that we have seen for the service has meant that we have had to start buying food and other essential products. This, together with the need to move to a delivery model and the widening of the geographical area served, has increased our costs significantly. A financial donation will enable supplies to be purchased and distributed to those who are struggling and vulnerable. A food parcel for an individual for one week costs £14, or £18 with toiletries. All donations will go directly to purchasing items for food parcels. 

More information about Sussex Community Development Association: SCDA works across East Sussex delivering community based services aimed at addressing the needs of the most vulnerable in the community, including Young people's activities, youth club, specialist counselling Info and Advice Hub in Newhaven Seahaven Food Bank Counselling services Support for survivors of suicide Safe from Harm Community activities, courses and events Employability projects Denton Island Nursery Family and children's activities Activities and events for BAME communities

See www.sussexcommunity.org.uk for more information."
"Salford Foodbank","Salford, North West England, United Kingdom",https://www.gofundme.com/f/salford-foodbank,225,100,2020-04-04T16:04:31.0000000-05:00,03/31/2020,,,22,"I thought I would take the opportunity to utilise our pub quiz to raise some money for the local Foodbank. Please give what you can but if we could aim for £5-£10 with the amount of people attending we could reach £100! Which isn’t bad for a night in.

Thanks Kyle"
"EDC FOODBANK APPEAL","Glasgow, Scotland, United Kingdom",https://www.gofundme.com/f/edc-foodbank-appeal,3199,6000,2020-05-04T09:43:59.0000000-05:00,03/18/2020,"East Dunbartonshire Foodbank","Registered nonprofitDonations eligible for Gift Aid.",124,"This time is more crucial than ever to help people in amongst the crisis. The foodbank is really struggling just when people will need it most. We need to help ! Food is at shortage and everyone stocked up for their own households , a monetary donation would allow the staff to get exactly what’s needed for everyone 

thanks for your support at a time when we’re all in stuck in the unknown 

x "
