Title,Location,Link,Raised,Target,MostRecentDonation,Created,Organization,OrganizationDetails,DonationCount,Donations,Story,Complete
"Let's help our most vulnerable through this crisis","Strabane, Northern Ireland, United Kingdom",https://uk.gofundme.com/f/w8dn9-let039s-help-our-most-vulnerable-through-this-crisis,2492,1000,,2020-04-10,,,0,,"At a time of great crisis  it is heart warming to see that communities have rallied to the call of protecting their most vulnerable and the people of Strabane and the surrounding areas have been absolutely brilliant. As a community and beyond  we are all in this together and we will fight this virus and its impact on us every step of the way.    This is a very distressing and difficult period for many people and the food-bank is providing an essential service to many vulnerable people throughout the Strabane district and beyond. This service means so much to so many people.    We are appealing to anyone who is in a position to donate at this time to please help us out  so that we can continue to provide as much as we can to as many people as we can. Any donation  no matter how small would be greatly appreciated.    We will get through this together.    Thanks a million and stay safe!",False
"Nicole's head shave for Warrington Foodbank","Warrington, North West England, United Kingdom",https://uk.gofundme.com/f/1ziv2phpmo,410,250,,2020-10-30,"Warrington Foodbank","Registered nonprofitDonations eligible for Gift Aid.",0,,"Hello you wonderful lot! My name is Nicole and I am a barber from Warrington  and during our national lockdown  alot of my customers had to shave their own heads due to not being able to get a hair cut. So shaving my head seemed a fitting way to raise money for Warrington foodbank!   I will be shaving my head on Friday the 13th of November and live streaming it to facebook so you can all have a bloody good laugh at me   Every penny counts  so even if you can only donate a small amount... I will be forever grateful.  This is such an important service used by many in such challenging times.     More information about Warrington Foodbank: We provide three days' nutritionally balanced emergency food and support to local people who are in crisis. We are part of a nationwide network of foodbanks  supported by The Trussell Trust  working to combat poverty and hunger across the UK.",False
"Team Mushin needs your help","Liverpool, North West England, United Kingdom",https://uk.gofundme.com/f/270n5idoeo,1235,1500,,2020-11-14,,,0,,"Mushin Martial Arts Update   Head Coach Sue I am sure in these troubling times you  like us  have your fair share of issues.   On Sunday 8th we had one such issue: A power surge through the dojo which has blown all the electrics and everything in the building! Just what we didn’t need! Although we are currently closed due to the national lockdown. I attend the gym daily  keep it clean  prepare lesson plans and of course make myself available for those dropping off for our foodbank and for those who are also collecting from our foodbank. I also use the space to record exclusive video content for our students. This power surge has meant no power or heat and even the electric shutters failed  meaning we couldn’t gain access. With no help from the local council  this financial burden has hit us hard. This is worrying for us with no financial support. Planning a way of recovering from this  in our attempt to keep the gym going in this unprecedented time  has left us with sleepless nights. Some friends and students have already dropped in  and we are not above accepting help and will always accept it gratefully.   Thankfully  our motto is “Inspire  Believe  Achieve” we will not be defeated! We will continue to help our community as best we can. Managing our foodbank for those that have been hit hard during these challenging times. Creating a safe space for people who need to deal with their mental health and well-being. Providing martial arts classes  online content and training for all our loyal students. Whilst we wait for contractors to complete work. We are assured that we will gain access to the building soon. Hopefully  we can resume classes as of December 2nd! Now  more than ever  our students need access to train (after lockdown). Be in an environment which is beneficial to their mental health and well-being.   We couldn’t agree more and will do our utmost to make sure the gym is available whatever tier we end up in. Thank you so much for your continued support.   We love you all!     Remember  we are stronger together! Sue King ",False
"Martha gets the Chop for Stroud District Foodbank","Chalford Hill, South West England, United Kingdom",https://uk.gofundme.com/f/martha-gets-the-chop-for-stroud-district-foodbank,1105,300,,2020-05-03,,,0,,"Due to the Coronavirus  I have heard that even more people are struggling to buy food and some of them live where I do. I have decided that if I can raise money for them I will cut off all my hair. I have been growing it for about 2 years since I had a bob. Please sponsor me if you can. It would be brilliant    Love Martha  age 8    supported by my family ",False
"Support our vulnerable needing food","Everton, North West England, United Kingdom",https://uk.gofundme.com/f/support-our-vulnerable-needing-food,7505,10000,,2020-03-21,"Liverpool Six Community Association","Registered nonprofitDonations eligible for Gift Aid.",0,,"Do you want to join me in making a difference? I'm raising money in aid of Liverpool Six Community Association and every donation will help. Thank you in advance for your contribution to this cause that means so much to me.    More information about Liverpool Six Community Association: At our Community Centre we provide advice services  lunch clubs  youth clubs  a foodbank  tea dances  short breaks away for the elderly and children. The children we work with come to the L6 Centre very distressed and hungry. We run a youth club for these disadvantaged children of our community and provide them with a hot meal 3 times a week. We work closely with the local schools and the teachers who refer vulnerable children and families. We also ensure we support families who are deprived at Christmas.",False
"Raise money for local food banks","Nottingham, East Midlands, United Kingdom",https://uk.gofundme.com/f/raise-money-for-local-food-banks,1035,1000,,2020-04-19,"FOODBANK 365","Registered nonprofitDonations eligible for Gift Aid.",0,,"Do you want to join me in making a difference? I'm raising money in aid of FOODBANK 365 and every donation will help. As you know in these hard times we face more and more people are struggling to get food so every penny made will help a struggling family or person so please consider donating anything you can it doesnt have to be much but it really does help.   Thank you",False
"Keep Fair Frome Foodbank Stocked","Frome, South West England, United Kingdom",https://uk.gofundme.com/f/keep-fair-frome-foodbank-stocked,4430,-1,,2020-03-13,,,0,,"The Fair Frome food bank already does incredible work helping those in most need. But the coronavirus epidemic will be a massive challenge for them  on a whole new scale. More and more people are going to need their help over the next few months.    People on zero hours contracts won't get paid.    Food will need to be delivered to the elderly and sick who are self-isolating.    If schools close  many children will lose their main meal and need to be fed.    And all this is happening at a time when the rest of us are going to the supermarket less and - let's be honest - thinking about our own food cupboards first.    So  here's a very simple way to help. You give money. Every time we get to £100 I ask the foodbank what they need most and go and get it. If things get really bad  I will organise a delivery. We all keep doing this over and over again until things get better.      Why aren't Fair Frome doing this? Well  they've got a heck of a lot on their plate right now and this is one way I can take the load off them. It's also easier for me to set up a fundraiser as an individual.    Who am I anyway? Good question  I have volunteered for the food bank before  and here I am with Lenka  their co-ordinator  in the food bank. Fair Frome know that I am making this appeal and are very happy to have the fundraising happen.      I will post the receipt on here every time I go shopping.    But if you're still worried  please do take some food to the Fair Frome collection points in Sainsburys  Asda  Frome Wholefoods and Barnardos instead.       Frome is a great community. Let's channel this and do our best to see all our town through the next few months.    ",False
"The Blue Blades campaign for The Trussell Trust","Liverpool, North West England, United Kingdom",https://uk.gofundme.com/f/blueblades039s-campaign-for-the-trussell-trust,365,250,,2020-06-04,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",0,,"    Due to the COVID-19 outbreak a number of regattas in the rowing calendar have been cancelled  including one of our favourites; Durham Regatta. HUBC race at this regatta every year and it has turned into an event which is loved by alumni and also marks the start of summer. As it is has been cancelled  The Blue Blades have challenged HUBC to a race on the weekend of June 13th and June 14th. (The date of Durham Regatta) We will be racing the distance by foot and/or bike of 260 miles/419km  the distance from Hull to Durham and back.    All proceeds will be going to The Trussell Trust  a charity which provides emergency food and support to people locked in poverty  as well as leading a campaign for change to end the need for food banks in the U.K. With the current COVID-19 pandemic  food banks are a vital resource and are experiencing a significant rise of people using their services  so every penny raised will go a long way.     The Blue Blades are an alumni group from Hull University Boat Club.     More information about The Trussell Trust: The Trussell Trust  in conjunction with local communities  develops and runs sustainable projects in the UK tackling poverty and exclusion. Through the UK Foodbank Network and Community Enterprises we work with marginalised people in real need  providing practical care and support. www.trusselltrust.org.",False
"Head shave for Govanhill food bank","Glasgow, Scotland, United Kingdom",https://uk.gofundme.com/f/head-shave-for-govanhill-food-bank,339,-1,,2020-03-29,,,0,,"Hi guys     wanting to to raise some money for the Queen’s Park Govanhill Parish Church Foodbank ☺️ What best way to do this than shaving your Barnet off     please donate anything amount you want. Photo when done ",False
"The Nottingham Robin Hood Fund","Nottingham City Council, East Midlands, United Kingdom",https://uk.gofundme.com/f/3ytaf-robin-hood-fund,58956,65000,,2020-03-19,,,0,,"The world is experiencing an unprecedented challenge. It is important  in this moment  that we cooperate and do what we can to support one another. The Robin Hood Fund has launched to support our city and the organisations that can have the most impact on those that are most vulnerable.    The Robin Hood Fund     Right now we are all feeling scared and vulnerable  but there are many among us that will need more support  from food banks to food delivery and far beyond.    In Nottingham we have a famous history of looking after one another. You could call it the spirit of Robin Hood - and that spirit has never been more important than right now.     So we are creating something called the Robin Hood Fund and its aim is to ensure those in need at this difficult time are being looked after.     Our city has some exceptional people and projects that help individuals in need every day. The Robin Hood Fund has been set up for us to shine a light on these vital projects and help ensure they have the funding in place to continue their work at this incredibly difficult time.     Please  even during these unprecedented circumstances  we ask that if possible you donate and contribute to the common good of Nottingham. We know that so much is uncertain for us all right now but the smallest contribution can make the biggest difference.    The spirit of Robin Hood has created something unique in our city  now is the time to reignite that spirit so please donate today if you can and if you can’t please help us spread the word.      * * *    FAQs    What can I do?    Right now because of the severity of the situation  the single most important thing we can do is try to raise money  so that we are able to help the vulnerable.     Where have funds been used?    Since the Robin Hood Fund started we have always had one goal  to raise as much money as possible to help those most in need.     To date; the following causes have been supported;     Since the Robin Hood Fund launched we have had one clear goal  to raise much needed funds to support the most vulnerable people in Nottingham during the Covid-19 crisis. Following an amazing response from the people and organisations of our city we have already exceeded all expectations in raising more than £75 000 which has been distributed - or is in the process of being distributed - to a number of charities and organisations undertaking such important work during these difficult times.      To date; the following causes have been supported:      Foodbanks (£20 000)    The Robin Hood Fund has distributed £20 000 in support of food banks across Nottingham. Working closely with Hope Nottingham and Nottingham Forest in the Community to deliver the wider support  food and supplies have been centrally purchased and then distributed to a number of different food banks  including: NG11 Clifton Foodbank  Meadows Foodbank  Grace Church  HOPE Nottingham  Bestwood & Bulwell Foodbank  Himmah / Muslim Hands  Arnold Foodbank and St. Ann’s Advice Centre.      Homeless Organisations (£10 000)    Emmanuel House was awarded £6 000 for additional specialist key worker support to boost its team at a time when Nottingham’s homeless community is at grave risk. This support is helping to ensure the homeless community are being placed into hotel accommodation as an emergency measure as hostels are very vulnerable to outbreaks.       There has also been £4 000 of support released to Framework to enable them to purchase essential items to the Homeless community in Nottingham. This included  but was not limited to  the provision of items such as mobile phones so that they can remain in contact with key workers and minimise the chance of these individuals being unable to stick to the government guidelines on social distancing.       Refugee Groups (£2 500)    Refugee Roots were provided with support to allow them to move from a model that required face to face contact  to being able to still provide support in a safe and socially distanced way.      In addition  Refugee Forum has been provided with funding for a destitution fund to ensure those with no access to support in other places can still get support.       Vulnerable Women (£4 500)    Nottingham Women's Centre have been awarded funding to help them to provide mental health support and online counselling  including training for counsellors to be able to provide online support.      In addition to this  further support was provided to POW Nottingham  an organisation supporting the rights of sex workers and those at risk of being exploited. This funding enabled them to purchase essential items including food and toiletries.      Disability Groups (£2 500)      With social distancing measures causing increased issues for the disability community in Nottingham  this support has enabled the Disability Support Nottingham organisation to increase its capability to provide phone support - in addition to welfare checks - to those in need.      Vulnerable Young People (£2 500)     Funding has also been provided to help support the amazing work of Nottingham YMCA  who are working with the most vulnerable young people in our city during this crisis. The support has helped to provide food and toiletries to those housed in supported YMCA and transitional accommodation.      Where will the funds go?    The most vulnerable people during this crisis and will be administered by the city council and delivered by people and organisations across the city that can help the most vulnerable.    Every Monday Nottingham City Council will administer the release of funds from GoFundMe to Nottingham City Council bank account. This means Nottingham City Council should  on average  have the money in the bank no later than Friday of every week.    Once in Nottingham City Council account the funds are ring fenced and held until the decision re: allocation has been made.    A working group  chaired by Lee Walker  will be set up to recommend how that branch of funds is released. This group is tasked with making the biggest impact possible whilst also being certain that the organisations in receipt a) need and b) promise to spend quickly ie. nobody saves the money. On Tuesday of each week the working group will have a paper approved by a member of ‘gold’ and paperwork will be sent to a small governance committee who are tasked with ethics and assuring the highest standards of governance and distribution.    Remotely the governance group will scrutinise and approve. Once approved Nottingham City Council agrees to distribute as agreed.    Money will then go out asap so groups and organisations are in receipt within 5 days. A one page press note to support and communication online to be transparent.      If I do donate will it go to those who need it?     Yes  100% of any donation will go to those who need it.    I want to help my local community; will this money be spent in Nottingham?     Yes.     I came to this page accidentally looking for more information on CV-19  where can I find accurate information?     For general information on CV-19  please ensure that you visit the .gov website: Guidance on social distancing for everyone in the UK and protecting older people and vulnerable adults    * * *    About Us    A group of people in Nottingham have helped to make this happen: Greg Nugent  Chair of the Nottingham Board for Culture and Creativity; Lee Walker  Director  Board for Culture and Creativity; Simon Bristow  Head Creative  The Nottingham Project; Nigel Adams  Hope Nottingham Food Banks. We are a collective of Nottingham citizens who just want to make a difference.  ",False
"Dance for Carers","Stoke Prior, West Midlands, United Kingdom",https://uk.gofundme.com/f/dance-for-carers,1537,1000,,2020-04-27,,,0,,"We started out just dancing in our garden and having some fun. But as we were dancing we thought  maybe we could use this to make a difference. Since the Coronavirus pandemic began many people have done some amazing things  not least Captain Tom Moore whom has raised over £28 million for the NHS  we aren't aiming as high but we are aiming more local. We have teamed up with some local carers from the community to bring you  'Dance for Carers'. This Thursday a group of carers will show you their moves as we dance together to raise money for Local FoodBanks who are struggling in these times. We will be practicing all week to get ready and we hope we can have some fun and bring a smile to everyones face whilst doing it.",False
"New School Uniforms and Food Bank Appeal","Everton, North West England, United Kingdom",https://uk.gofundme.com/f/new-school-year-new-school-uniform,18145,25000,,2019-07-06,"Liverpool Six Community Association","Registered nonprofitDonations eligible for Gift Aid.",0,,"Do you want to join me in making a difference? I'm raising money in aid of Liverpool Six Community Association and every donation will help. Thank you in advance for your contribution to this cause that means so much to me. We want to send every primary child back to school in September in a new uniform  new coat  shoes and PE Kit.    More information about Liverpool Six Community Association: At our Community Centre we provide advice services  lunch clubs  youth clubs  a foodbank  tea dances  short breaks away for the elderly and children. The children we work with come to the L6 Centre very distressed and hungry. We run a youth club for these disadvantaged children of our community and provide them with a hot meal 3 times a week. We work closely with the local schools and the teachers who refer vulnerable children and families. We also ensure we support families who are deprived at Christmas.",False
"Fund the North to Free the North","Warrington, North West England, United Kingdom",https://uk.gofundme.com/f/fund-the-north-to-free-the-north,390,2500,,2020-11-14,,,0,,"The Northern Independence Party is a grassroots movement campaigning for a referendum on an Independent Northern England. Our party no longer trusts in the ‘generosity’ of Westminster to bridge the centuries old North-South divide. This tried and tested approach is destined to fail. The centrality of London  with its capacity to gobble-up all of this country’s assets  is built into the very fabric of the ‘United Kingdom.’ Infrastructure  people  resources  opportunities: all filter south by design. We believe  then  that only through a referendum – with a resounding ‘yes’ – will we solve  once and for all  that vast array of economic and social disparities that split this island in two. We have over 200 active volunteers using a free Slack workspace. But we have hundreds more signed up and waiting to join. Our next obstacle to overcome is to invest in a membership system and organisational tools so we can become sustainable and begin organising activities leading up to us challenging council seats in the local elections of 2021.     We are a transparent party run by ordinary Northerners. We have no secret donors or other means of generating an income. Our spend to date on the movement was £1.19 to register a domain name. But we have reached the point where we cannot go any further without incurring some additional expenses. We need: A Membership System Banking costs Zoom Professional A Virtual Business Workspace    You can read more about our party here: https://www.redpepper.org.uk/the-case-for-northern-independence/    Or follow us on Twitter @FreeTheNorth    --    This is a difficult time for many so you shouldn't feel bad if you aren't in a position to contribute financially right now. We're grateful to have your support. If you're finding things difficult yourself  you can find help through Citizens Advice  your local council  the Trussell Trust  or through the links we've gathered below.    https://www.trusselltrust.org/get-help/find-a-foodbank/    https://england.shelter.org.uk/get_help    https://www.citizensadvice.org.uk/benefits/help-if-on-a-low-income/using-a-food-bank/    https://www.stepchange.org/debt-info/emergency-funding.aspx    https://www.ageuk.org.uk/information-advice/money-legal/benefits-entitlements/how-to-get-help-with-urgent-or-one-off-expenses/",False
"Edinburgh South East Foodbank","Edinburgh, Scotland, United Kingdom",https://uk.gofundme.com/f/edinburgh-south-east-foodbank,1245,250,,2020-04-17,,,0,,"Edinburgh South Foodbank based in Burdiehouse is running low on supplies. I checked with them and they have a real need for tinned meats (stew  meatballs etc). They also are always in need of long-life milk.     In normal times it would ok to ask folks to drop stuff off there  however  currently that's difficult. I plan to take any money raised and organise a bulk buy to be delivered directly to them. Alternatively  you can contact them directly to make a donation to them.    While we're all worrying about how much we're eating during ""lockdown""  let's lookout for those who don't have that problem xx",False
"Fans For Foodbanks COVID-19 Crisis Fund","Wheawill & Sudworth, Yorkshire and the Humber, United Kingdom",https://uk.gofundme.com/f/fans-for-foodbanks-covid19-crisis-fund,12334,1000,,2020-03-27,"The Welcome Centre","Registered nonprofitDonations eligible for Gift Aid.",0,,"  The Welcome Centre is a Huddersfield-based foodbank that provides basic essentials to people in need. Unfortunately  the COVID-19 crisis has seen demand for their services rise and donations fall. To help  Cowshed Loyal and the Huddersfield Town Supporters’ Association (HTSA)—co-founders of the Fans For Foodbanks initiative—have each donated £250 and are encouraging others to donate whatever they can.    All donations  no matter how big or small  or greatly appreciated. Stay safe and keep the faith. ",False
"Salford Foodbank","Salford, North West England, United Kingdom",https://uk.gofundme.com/f/salford-foodbank,225,100,,2020-03-31,,,0,,"I thought I would take the opportunity to utilise our pub quiz to raise some money for the local Foodbank. Please give what you can but if we could aim for £5-£10 with the amount of people attending we could reach £100! Which isn’t bad for a night in.    Thanks Kyle",False
"Raising money for nhs workers and foodbanks","Sidcup, Greater London, United Kingdom",https://uk.gofundme.com/f/raising-money-for-our-frontline-nhs-workers,13514,2500,,2020-03-23,,,0,,"Raising money for frontline nhs staff for food  accommodation and whatever else needed  and putting back into the community for food banks for families unable to work So lockdown is now upon us all so I thought of a way of raising money for nhs frontline staff and foodbanks for families unable to work  And a way to keep people smiling  So..... nominate a friend to shave there hair ( it’ll grow back by the time we’re out of this sh#t ) They name there price  Check the link to see if they’ve donated And shave it !!!!! Please copy and share and let’s see how much we can raise for this much needed cause and have a barrel of laughs along the way. Before and after pics will make it so much funnier ",False
"Community fundraiser","Great Lumley, North East England, United Kingdom",https://uk.gofundme.com/f/gq7vuj-community-fundraiser,1245,1000,,2020-04-25,,,0,,"Local Professional Boxer Tommy Ward & DCC Neighbourhood Warden Kevin Howes are teaming up to do a 10k run fundraiser. Funds raised are to be shared equally between two much needed food projects in our communities  these being Lumley Methodist Church who are cooking and delivering over 115 hot meals twice a week and Bournmoor  Fence Houses & Woodstone Foodbank who are delivering many many food parcels throughout our villages. Both projects are much needed in these challenging times for vulnerable people and families in need  over 30 volunteers are involved in total across both projects.  Both Tommy & Kevin live locally and are passionate about their communities  their 10k run will take place on Saturday 9th May  to make things a little more challenging Tommy will be wearing a weighted top and Kevin will be in uniform complete with stab proof vest.  Any support at all that can be given will be very much appreciated by all in this amazing fundraiser  every little helps. Kind regards  Alan",False
