Key,Fundraiser,Raised,Charity,Operates,Postcode,Activities,Description,Address,FirstDonation,LastDonation
10,"Weybridge Covid Foodbank Appeal",530.5,"Runnymede Foodbank","Throughout Wales",,"The WI is non-sectarian and non-party political and is actively involved in the social, envirornmental and consumer issues of the day.","£5 will buy a flask for a homeless person
£10 will fund a Christmas dinner for a local family
£21 will feed a child a hot dinner and dessert for 10 days through one of the school holidays on our Food4Lunch program
Thank you for your generosity


Runnymede Foodbank is part of a UK-wide network of Trussell Trust food banks providing emergency food to people in crisis nationwide.
We cover Runnymede district and the surrounding area to provide a minimum of three days emergency food and support to people experiencing crisis. 
We aim to help people in a crisis by providing food, emotional support and signposting to other services as appropriate, and in doing so, help the person or family deal with the situation they are in more effectively. 
People are referred to Runnymede Foodbank by the agencies working with people in need. This could be Social Workers, Health Visitors, GP’s, Schools, Citizen Advice Bureau and many of the voluntary organisations working in the area. The food (all long life) is generously donated by local people at supermarket collections, Churches, schools and local businesses. 
We serve people of all faith groups and beliefs or none. We are passionate about inclusion and being non-judgemental is central to what we do. We believe that everyone has the right to have food on their plate, dignity and hope for the future. 
The Foodbank would not be able to function without a fabulous team of volunteers who sort the stock, provide a welcoming face to those in need and take part in supermarket collections and other community events.","Beacon Church,95-99 Guildford Street  Chertsey,  KT16 9AS",10/05/2020,27/05/2020
11,"Adrian Smith",0,Touchstone,,,,"
Touchstone's vision is to inspire communities and transform lives.  We are supporting the community, but we can't do it on our own. 
Please help us transform lives during the Covid- 19 crisis by making a donation so that Touchstone's service users do not go hungry.
Many of the people and families we support are finding it difficult or impossible to get to food banks.  They are hungry, isolated and unwell. 
Your support for Touchstone is never more needed #nevermoreneeded
Please consider fundraising for Touchstone.  With a £25 donation, service users who are self isolating and are very vulnerable will have an essential food parcel to last a week.  100% of your donation will be used for basic essential items for our emergency campaign #touchstonelovesfood.  
Thank you very much for your kindness during this crisis. 


Get our latest news from:
","Touchstone House 2-4 Middleton Crescent,  Leeds,West Yorkshire  LS11 6JU",,
12,"Ali Moore",155.65,"CHANCE For Nepal",Israel,,"Relief and rehabilitation of persons of the Jewish faith in need of financial or other help."," CHANCE for NEPAL 
[b] (Children’s Health and Nutrition Care and Education) [/b]
is a registered charity founded by Barbara Datson in 2007 with the explicit aim of helping children in Nepal who are sick, orphaned, handicapped, or underprivileged.
Working closely with established and trusted organisations, schools and hospitals on the ground in Nepal, CHANCE for NEPAL gives aid and support for children and their families as well as educational and training opportunities. 
We sponsor and support projects in Nepal relating to:
HEALTH-EDUCATION-STREET-CHILDREN-VOCATIONAL TRAINING - RABIES PREVENTION
Our medical support in Nepal focuses on the burns units of two hospitals, the Kanti Children's Hospital and the Trauma Hospital both in Kathmandu. We fund weekly nutritional food baskets for each patient coming to the burns unit, as well physiotherapy and counselling 5 times per week. Every child coming on to the Burns Unit receives a 'Goody Bags' containing fun things to do to keep them amused.  We fund up to 40 skin graft operatons a year in these two hospitals. Our support at the Kanti started in 2004.

We support Mountain Heart Nepal  who deploy medical teams in times of crisis - earthquake/flood, by funding medicines for the health camp as well as funding a 'Magic Read' programme where children receive a text book covering health related information targeted at their age. 
We support Papa's Children's Home for 25 children who either have no parents or a parent who can no longer take care of their child. Our support is to fund all the food costs for this home as well as a monthly activitity prrogramme. Our support at Papa's Children's Home started in 2012.

We fund a milk programme and a 'Tiffin"" meal in three schools. Our support in schools started in 2006.
We support WCS (Women's Cooperative Society) with skills training. Over 160 women receive elementary and advanced training in how to grow seasonal vegetables. We fund 5 trainings per year. This empowers women to earn a good income by taking out a small loan with WCS, attending the 4 day training, then growing and selling their vegetables at market, thus enabling them to educate one or more of their children. Our support with WCS started in 2005.

We fund up to 1000 rabies vaccinations through Sneha's Care in Kathmandu and fund leaflets and posters to be used in schools and villages to educate children and adults about the dangers of rabies. Our support fighting rabies started in 2005.
CHANCE for Nepal has set up an educational sponsorship programme at three schools in Kathmandu where 37 students are being sponsored for their education, in schools, colleges and University by English sponsors. 
We have funded the building of 5 schools and 2 health posts in remote areas in Western Nepal.
All our projects are regularly monitored by Westerners living and working in Nepal.
Please like our page and follow us on Facebook
Patron  Joanna Lumley","Greensands,Moon Hall Road  Ewhurst,Cranleigh  GU6 7NP",28/05/2020,30/05/2020
13,"Aman Shirgaokar",2049,"The Felix Project",,,,"The Felix Project collects surplus food from suppliers and delivers it free of charge to charities and schools that provide food to people in need - a wonderfully simply model helping address the twin scandal of food waste and food poverty.
Each year the UK generates 1.9 million tonnes of food waste that could have been eaten, which is worth around £4.6bn, At the same time, 2 million people in the UK cannot afford to eat regularly, and in London 70,000 children go to school hungry each day.
For every £1 donated, the Felix Project saves £4 of food. Our operation is simple, reliable and efficient. We have a small team of staff and over 400 volunteers who drive, walk and cycle to collect food from suppliers and deliver it to around 200 charities and schools.


","Unit 6 Kendal Court Kendal Avenue,  London,  W3 0RU",17/05/2020,01/06/2020
14,"Ardagh Glass Barnsley",90,"Barnsley Foodbank Partnership",,,,"Barnsley Foodbank Partnership, feeding Barnsley people across the borough through a network of local Foodbanks.


Big or small, every donation you give will help to feed families and individuals going hungry in your community. We couldn’t do what we do without your support. Please join us in helping those most in need, thank you for helping to make a difference!","17 Western Street,Barnsley  South Yorkshire,  S702BP",21/04/2020,27/04/2020
15,"Ayaan Tarey",20,"The PwC Foundation",,,,"The PwC Foundation is a registered charity (No 1144124), set up in October 2011 to promote social inclusion and sustainable development in the UK, in line with our purpose.
Through our Together for Change campaign, we are aiming to support 500,000 people. We will do this through our four partner charities, which are aligned to our community strategy focus areas of mental health & wellbeing and social mobility.
There are two staff-voted charities: Samaritans, our mental health and wellbeing partner, and UK Youth, our social mobility partner. The other two PwC Foundation charities are long standing partners: the Beyond Food Foundation and Wellbeing of Women
We also support staff fundraising for locally supported/ personally supported charities, by sending on their donations to the charity they are supporting. We also offer matched giving for our staff.
Find out more by joining us on Twitter @pwcfoundationuk, or take a look at our website.","The PwC Foundation,  1 Embankment Place,London  WC2N 6RH",13/05/2020,15/05/2020
16,"CR Brentford",630,"Ealing Foodbank",,,,"Ealing Foodbank is a project founded in 2013 by local churches and community groups, working together towards stopping hunger in the London Borough of Ealing. 
We don't think anyone in our Borough should go hungry, so as part of the Trussell Trust network of foodbanks, we give food for 3 meals for 3 days to those who have been referred to us by our partners. 
Food donations are always welcome, and you can find our latest food needs and drop-off points on our website. 
We also need financial support to run the charity so we can help give back dignity and hope to those in our borough who are in food crisis.
Thank you for your support!","Ealing Foodbank,St. Mellitus Church Hall  Church Road,London  W7 3BB",14/05/2020,22/05/2020
17,"Charlie Oven",90,"Bow Foodbank",Kent,"TN16 1EX","MEMBERS MEETINGS  LECTURES  DISCUSSIONS  FUND RAISING ACTIVITIES","Corona Virus - Food crisis
As well as looking after the individuals and families who need our help week after week, we are doing everything that we can to support the local community, working with other organisations and with the local council to help to distribute food to those who are self isolating or unable to leave their homes. 
Thank you to everyone who has helped us, especially in these last few weeks. Please support us if you can. Our costs are escalating way beyong our normal budget, but we want to do more. These are difficult times for all of us, but desperate for those with limited access to food for their families. 
Thank you
2 April 2020.


Bow Foodbank is a small independent foodbank based in Bow, east London. Our mission is to provide food and support to anyone in need.
We are fairly unique in our approach: the dignity of each client is foremost, they choose the food they need, and we don't require clients to be referred or have vouchers, prefering to trust each client. 

We provide a warm welcome, tea and a sandwich/cake while clients wait to do their 'shopping'. Free legal advice is available at each foodbank session.




","177 Bow Road,  London,  E3 2SG",26/05/2020,27/05/2020
18,"Claire Dunford",1398.5,"NHS Charities Together",Cambridgeshire,"PE13 1JE","The Trust owns and maintains Octavia Hill's Birthplace House in Wisbech, Cambridgeshire, a Grade II* Listed Georgian Building which contains exhibits, displays and archives of the life and work of Octavia Hill (1838 - 1912).
Within the Birthplace House there are two cottages containing three Incubator Office Units, a Tearoom, and Shop which are leased to and operated by Octavia Hill Trading Ltd.","
NHS Charities are the offical way that the NHS raises, holds and spends charitable funds. There are 230 NHS charities in the country.
NHS Charities Together (aka the Association of NHS Charities) is the umbrella organisation for the NHS' offical charities in the UK.
Endorsed by the Department of Health and Social Care, and NHS England, NHS Charities Together provides support and grants only to these NHS' official charities.
 NHS charities provide extra vital funds and services to NHS hospitals, ambulances, mental and community health trusts and health boards. This funding is above and beyond what the government provides and is spent on enhancing care and experience of patients.
www.nhscharitiestogether.co.uk ","Association Of Nhs Charities,Suite 68  Lake View House,Wilton Drive  CV34 6RG",07/04/2020,09/04/2020
19,"Dylan Evans",265,"Wandsworth Foodbank",,,,"Wandsworth Foodbank - Administered by Junction Community Trust
 Providing emergency food & support to local people in crisis in the London borough of Wandsworth.
We don’t think anyone in our community should have to face going hungry. That’s why we provide three days’ nutritionally balanced emergency food and support to local people who are referred to us in crisis. We are part of a nationwide network of foodbanks, supported by The Trussell Trust, working to combat poverty and hunger across the UK.
Last year we helped 1209 different households locally, providing 5218 3-day emergency food supplies in crisis. This is an increase of 11% on the previous year.
We partner with Citizen's Advice Wandsworth and have a full-time advisor working exclusively with people in the foodbank, helping to resolve the crisis and reduce the need for future food bank use.
","St. Marks Church,Battersea Rise  London,  SW11 1EJ",09/03/2020,01/04/2020
20,"Fiona Malitsky",1389.2,Honeypot,"Devon, Ethiopia",,"The Exeter-Ethiopia Link is a Community Link between Exeter and Nekemte and Hareto in Western Ethiopia.   The Link supports small scale sustainable development in the fields of education, water supply and sanitation, health and women's advancement in and around those communities in Ethiopia.   The link also fosters educational links between Ethiopian schools in that area and schools in Devon.","Honeypot’s vision is for every child to make the most of their one chance at childhood.  [/b]
Honeypot provides respite breaks to UK young carers and vulnerable children aged between 5 and 12 years old. Regular visits to the Honeypot House in the beautiful New Forest and continuing outreach work allows these children to create happy childhood memories.


","15A Berghem Mews Blythe Road,  London,  W14 0HN",05/02/2020,12/03/2020
21,"Georgina Bentley-Leek",1389.2,Honeypot,"Devon, Ethiopia",,"The Exeter-Ethiopia Link is a Community Link between Exeter and Nekemte and Hareto in Western Ethiopia.   The Link supports small scale sustainable development in the fields of education, water supply and sanitation, health and women's advancement in and around those communities in Ethiopia.   The link also fosters educational links between Ethiopian schools in that area and schools in Devon.","Honeypot’s vision is for every child to make the most of their one chance at childhood.  [/b]
Honeypot provides respite breaks to UK young carers and vulnerable children aged between 5 and 12 years old. Regular visits to the Honeypot House in the beautiful New Forest and continuing outreach work allows these children to create happy childhood memories.


","15A Berghem Mews Blythe Road,  London,  W14 0HN",05/02/2020,12/03/2020
22,"Gillian Macdonald",337,"Edinburgh Food Project","Throughout England And Wales, Australia, Canada, Spain, United States",,"Welfare support to ex RAF Cranwell Apprentices","Edinburgh Food Project (EFP) are a local independant charity (SC043220) and are a member of, but are not funded by, the Trussell Trust network. EFP Board of Trustees govern the charity while the work of the charity is overseen by one full-time and three part-time employees, and over 200 dedicated volunteers.  
EFP operates 7 foodbanks in areas of multiple deprivation across Edinburgh, providing emergency food supplies to people in need. Established in 2012, the charity now also works to break the cycle of food poverty through its More Than Food programme.
Each person we help has been referred to us by one of our 230 support agency partners who are looking after the longer-term problems a person may have. People can be referred to us for three food packs in a six-month period.  This is to ensure clients do not become dependent on the foodbank long term.  However, we can provide long term support if there are special circumstances.
Each food pack provides at least three meals for three days, and some snacks. We are also able to offer additional services such as toiletries, household items, pet food, specialist dietary items and kettle packs (for those who do not have access to a cooker/microwave).
In 2018-19, we provided 11,495 parcels to men, women and children. This was a 19.6% increase on the previous year.
We were able to do so by receiving 130,000kg of food from public donations.
Since 2017, we have expanded our focus by developing our foodbank centres in to More Than Food hubs. We conducted community-based research funded by Aspiring Communities Fund to identify the support needs of people, map existing support, and identify key gaps.
Findings from the research have shaped the development and implementation of this programme, which seeks to address the underlying causes of and help break the cycle of food poverty through the provision of appropriate advice and signposting support by partner agencies within our centres. 
Our goal is reduce the number of people who need the foodbank’s support, and ultimately to help reduce food poverty.



","Unit 12 New Lairdship Yards,Broomhouse Road  Edinburgh,Midlothian  EH11 3UY",27/04/2020,01/06/2020
23,"Guru Nanak Gurdwara Luton",0,"Luton Foodbank",,,,"Launched in April 2013, Luton Foodbank provides emergency food supplies to local people living in food poverty. 
Luton Foodbank provides individuals and families with non-perishable food parcels containing 3 days worth of food.
We work with local organisations and volunteers, striving to ensure that no one in Luton goes hungry. 
We value all the support that we recieve from local community, including schools, churches, mosques and other organisations.  If you would like to get involved by volunteering or becoming a referral agency, please contact us using the details on this page.
Thank you!","Unit 3 High Town Enterprise Centre Yor,  Luton,Bedfordshire  LU2 0HA",,
24,"Helen Garcia",8335.64,"Cancer Research UK","Throughout London, Birmingham City, Blackburn With Darwen, Manchester City","M16 9QW ","General charitable purposes","About Cancer Research UK
Cancer Research UK is the world's leading charity dedicated to beating cancer through research. Over half of all cancer research in the UK is carried out by our scientists. We have discovered new ways to prevent, diagnose and treat cancer that together have saved millions of lives across the world. 
We have been at the heart of the progress that has already seen survival rates double in the last thirty years. But one in three of us will still get cancer at some point in our lives. Our groundbreaking work, funded entirely by the public, will help ensure that millions more people will survive.

","2 Redman Place,  London,  E20 1JQ",15/01/2016,16/03/2020
25,"Helen Garcia",8335.64,"Cancer Research UK","Throughout London, Birmingham City, Blackburn With Darwen, Manchester City","M16 9QW ","General charitable purposes","About Cancer Research UK
Cancer Research UK is the world's leading charity dedicated to beating cancer through research. Over half of all cancer research in the UK is carried out by our scientists. We have discovered new ways to prevent, diagnose and treat cancer that together have saved millions of lives across the world. 
We have been at the heart of the progress that has already seen survival rates double in the last thirty years. But one in three of us will still get cancer at some point in our lives. Our groundbreaking work, funded entirely by the public, will help ensure that millions more people will survive.

","2 Redman Place,  London,  E20 1JQ",15/01/2016,16/03/2020
26,"Jeff Weldon",0,"Clevedon And District Foodbank Cio","Derbyshire, Hampshire","EX37 9TY","Christian teaching and outreach
Provision of outdoor pursuits for children and young people",,"17 Woodland Glade,  Clevedon,  BS21 6AL",,
27,"Joanna Price",417.13,"Uttlesford Foodbank",Durham,"DH7 0QS","The Aim of The Scout Association is to promote the development of young people in achieving their full physical, intellectual, social and spiritual potentials, as responsible citizens and as a member of their local, national and international communities. The method of achieving the Aim is by providing a scheme of progressive training, based on the Scout Promise and Law guided by adult Leadership",,"Unit 2B Stansted House,Shire Hill  Saffron Walden,Essex  CB11 3AQ",03/04/2020,30/05/2020
28,"John Leaver",3621.7,"Vineyard Community Centre",,,,"Vineyard Community Urgent Covid-19 Appeal
Why we need your help
We urgently need more funds to enable us to sustain our operations here in Richmond Upon Thames and to develop our response to the coronavirus crisis.
To avoid contributing to the spread of the virus we have temporarily closed our Morning-Drop in sessions for homeless people, but we are continuing to provide individual help and support - particularly through our food bank services.  We are moving to a delivery-only service - taking food parcels to individuals and families in need across the borough.  

Demand for our services is increasing dramatically as more people are finding themselves suddenly in need of support.  Unfortunately we have been simultaneously hit by:


The Vineyard Community Centre provides help at a morning drop-in to those in crisis: whether by homelessness, addictions or those experiencing mental or social difficulty. In an afternoon cafe, open to all, there is support to those who feel lonely, isolated or socially excluded.  The Richmond Foodbank runs during the afternoon cafe on a Monday and Thursday.","The Vineyard,  Richmond,  TW10 6AQ",22/04/2020,01/06/2020
29,"Juhi Srivastava",370,"The Trussell Trust",,,,"We support a nationwide network of food banks and together we provide emergency food and support to people locked in poverty, and campaign for change to end the need for food banks in the UK.
In the UK, more than 14 million people are living in poverty – including 4.5 million children. We support more than 1,200 food bank centres in the UK to provide a minimum of three days’ nutritionally-balanced emergency food to people who have been referred in crisis, as well as support to help people resolve the crises they face. Between April 2018 and March 2019, food banks in our network provided a record 1.6 million food supplies to people in crisis, a 19% increase on the previous year.
That's why your fundraising is important now more than ever. Over the last 5 years food bank use in our network has increased by 73%. This is a trend we need to break and we can only do this with your support. We value every penny raised and every conversation started. 
We know it takes more than food to end hunger. That’s why we bring together the experiences of food banks in our network to challenge the structural economic issues that lock people in poverty, and campaign to end the need for food banks in the UK.
If you'd like more information or have any questions about fundraising please don't hesitate to contact us. We'd be delighted to hear from you. ","The Trussell Trust,Unit 9, Ashfield Trading Estate  Ashfield Road,Salisbury  SP2 7HL",01/04/2020,07/05/2020
30,"Kirsty Henderson",182.75,"Wandsworth Foodbank",,,,"Wandsworth Foodbank - Administered by Junction Community Trust
 Providing emergency food & support to local people in crisis in the London borough of Wandsworth.
We don’t think anyone in our community should have to face going hungry. That’s why we provide three days’ nutritionally balanced emergency food and support to local people who are referred to us in crisis. We are part of a nationwide network of foodbanks, supported by The Trussell Trust, working to combat poverty and hunger across the UK.
Last year we helped 1209 different households locally, providing 5218 3-day emergency food supplies in crisis. This is an increase of 11% on the previous year.
We partner with Citizen's Advice Wandsworth and have a full-time advisor working exclusively with people in the foodbank, helping to resolve the crisis and reduce the need for future food bank use.
","St. Marks Church,Battersea Rise  London,  SW11 1EJ",07/04/2020,22/05/2020
31,"Lauren Baldwin",30,"Luton Foodbank",,,,"Launched in April 2013, Luton Foodbank provides emergency food supplies to local people living in food poverty. 
Luton Foodbank provides individuals and families with non-perishable food parcels containing 3 days worth of food.
We work with local organisations and volunteers, striving to ensure that no one in Luton goes hungry. 
We value all the support that we recieve from local community, including schools, churches, mosques and other organisations.  If you would like to get involved by volunteering or becoming a referral agency, please contact us using the details on this page.
Thank you!","Unit 3 High Town Enterprise Centre Yor,  Luton,Bedfordshire  LU2 0HA",04/02/2020,17/02/2020
32,"Leah Hoppin",515,"Special Olympics Great Britain","Throughout England And Wales",,"Promotes Urdu language","Special Olympics Great Britain is the country’s largest provider of a year-round sports training and competition programme for all people with intellectual disabilities. We are part of the Olympic family, but unlike the Paralympics we are not just a sporting event. We concentrate on community sport at all levels and for all abilities. Since our formation in 1978 as part of the worldwide movement, founded in the USA in 1968 by the late Eunice Kennedy Shriver, we have transformed the life of thousands of people through sport. There are currently 140 Special Olympics groups in Great Britain, run by over 4,000 volunteers and 10,000 athletes who benefit from our sports programme, but there are 1.5 million people with intellectual disabilities in the country. Support us so we can continue offering sporting opportunities to more people with intellectual disabilities.
 
 ","CAN Mezzanine,49-51 East Road  Hoxton,London  N1 6AH",05/05/2020,15/05/2020
33,"Maja Gabrys",75,Honeypot,"Devon, Ethiopia",,"The Exeter-Ethiopia Link is a Community Link between Exeter and Nekemte and Hareto in Western Ethiopia.   The Link supports small scale sustainable development in the fields of education, water supply and sanitation, health and women's advancement in and around those communities in Ethiopia.   The link also fosters educational links between Ethiopian schools in that area and schools in Devon.","Honeypot’s vision is for every child to make the most of their one chance at childhood.  [/b]
Honeypot provides respite breaks to UK young carers and vulnerable children aged between 5 and 12 years old. Regular visits to the Honeypot House in the beautiful New Forest and continuing outreach work allows these children to create happy childhood memories.


","15A Berghem Mews Blythe Road,  London,  W14 0HN",14/02/2020,21/02/2020
34,"Marcus Miller",265,"Wandsworth Foodbank",,,,"Wandsworth Foodbank - Administered by Junction Community Trust
 Providing emergency food & support to local people in crisis in the London borough of Wandsworth.
We don’t think anyone in our community should have to face going hungry. That’s why we provide three days’ nutritionally balanced emergency food and support to local people who are referred to us in crisis. We are part of a nationwide network of foodbanks, supported by The Trussell Trust, working to combat poverty and hunger across the UK.
Last year we helped 1209 different households locally, providing 5218 3-day emergency food supplies in crisis. This is an increase of 11% on the previous year.
We partner with Citizen's Advice Wandsworth and have a full-time advisor working exclusively with people in the foodbank, helping to resolve the crisis and reduce the need for future food bank use.
","St. Marks Church,Battersea Rise  London,  SW11 1EJ",09/03/2020,01/04/2020
